时间,币价,新增地址数
"2015-11-21 00:00","0.97613966","448.0000000000",
"2015-11-22 00:00","0.96801782","149.0000000000",
"2015-11-23 00:00","0.94696921","215.0000000000",
"2015-11-24 00:00","0.90019119","100.0000000000",
"2015-11-25 00:00","0.86353725","155.0000000000",
"2015-11-26 00:00","0.88418305","66.0000000000",
"2015-11-27 00:00","0.8679511","69.0000000000",
"2015-11-28 00:00","0.91570282","89.0000000000",
"2015-11-29 00:00","0.87861377","114.0000000000",
"2015-11-30 00:00","0.87311912","107.0000000000",
"2015-12-01 00:00","0.87479961","97.0000000000",
"2015-12-02 00:00","0.82120973","101.0000000000",
"2015-12-03 00:00","0.81214267","176.0000000000",
"2015-12-04 00:00","0.8400414","143.0000000000",
"2015-12-05 00:00","0.86243778","271.0000000000",
"2015-12-06 00:00","0.83550012","145.0000000000",
"2015-12-07 00:00","0.81126428","121.0000000000",
"2015-12-08 00:00","0.82211804","116.0000000000",
"2015-12-09 00:00","0.79216707","149.0000000000",
"2015-12-10 00:00","0.84039587","133.0000000000",
"2015-12-11 00:00","0.92976224","421.0000000000",
"2015-12-12 00:00","0.97697264","197.0000000000",
"2015-12-13 00:00","0.95288384","160.0000000000",
"2015-12-14 00:00","0.99302226","122.0000000000",
"2015-12-15 00:00","1.01414597","140.0000000000",
"2015-12-16 00:00","0.99118167","367.0000000000",
"2015-12-17 00:00","0.94070083","276.0000000000",
"2015-12-18 00:00","0.92012739","120.0000000000",
"2015-12-19 00:00","0.90807152","147.0000000000",
"2015-12-20 00:00","0.90388465","177.0000000000",
"2015-12-21 00:00","0.9007706","130.0000000000",
"2015-12-22 00:00","0.86420166","108.0000000000",
"2015-12-23 00:00","0.85807729","105.0000000000",
"2015-12-24 00:00","0.86326188","115.0000000000",
"2015-12-25 00:00","0.87036282","142.0000000000",
"2015-12-26 00:00","0.85460323","143.0000000000",
"2015-12-27 00:00","0.85636461","188.0000000000",
"2015-12-28 00:00","0.8450051","169.0000000000",
"2015-12-29 00:00","0.87305421","150.0000000000",
"2015-12-30 00:00","0.91195798","231.0000000000",
"2015-12-31 00:00","0.93354231","136.0000000000",
"2016-01-01 00:00","0.94802439","152.0000000000",
"2016-01-02 00:00","0.93712407","149.0000000000",
"2016-01-03 00:00","0.97190481","198.0000000000",
"2016-01-04 00:00","0.95448023","182.0000000000",
