时间,币价,持仓量
"2020-09-22 00:00","338.6688717035","2226361.7889",
"2020-09-23 00:00","344.162645226","2263421.7781",
"2020-09-24 00:00","346.6962447728","2263266.9814",
"2020-09-25 00:00","352.1184423876","2263266.9814",
"2020-09-26 00:00","354.5392323781","2263266.9814",
"2020-09-27 00:00","364.620867","2262801.8635",
"2020-09-28 00:00","355.547687798","2262646.8242",
"2020-09-29 00:00","357.6395769342","2262491.7849",
"2020-09-30 00:00","362.6604270909","2262336.9883",
"2020-10-01 00:00","343.3722019454","2262181.949",
"2020-10-02 00:00","347.423598547","2262181.949",
"2020-10-03 00:00","347.0855880712","2262181.949",
"2020-10-04 00:00","352.6485171749","2261717.0737",
"2020-10-05 00:00","351.1754730803","2261562.2771",
"2020-10-06 00:00","340.6867036409","2261407.2378",
"2020-10-07 00:00","349.6226904337","2261252.4411",
"2020-10-08 00:00","364.6927634163","2261097.6445",
"2020-10-09 00:00","373.0047338822","2261097.6445",
"2020-10-10 00:00","374.5928279442","2261097.6445",
"2020-10-11 00:00","383.7270169245","2261097.6445",
"2020-10-12 00:00","379.9956390691","2260478.2152",
"2020-10-13 00:00","377.4300627859","2280324.8791",
"2020-10-14 00:00","376.7564615906","2311282.0351",
"2020-10-15 00:00","367.209007267","2311393.8648",
"2020-10-16 00:00","368.3531346465","2311393.8648",
"2020-10-17 00:00","374.4400454009","2311393.8648",
"2020-10-18 00:00","383.2034838532","2314439.1609",
"2020-10-19 00:00","371.6746261675","2316655.2088",
"2020-10-20 00:00","389.5948778173","2327111.6423",
"2020-10-21 00:00","413.3592283963","2327222.2114",
"2020-10-22 00:00","412.7819791194","2335265.0867",
"2020-10-23 00:00","414.853432555","2335265.0867",
"2020-10-24 00:00","405.6292289384","2335265.0867",
"2020-10-25 00:00","394.8576094845","2335995.591",
"2020-10-26 00:00","404.8584775465","2337492.2531",
"2020-10-27 00:00","388.1635383744","2337332.029",
"2020-10-28 00:00","390.3784581749","2337367.4912",
"2020-10-29 00:00","381.8589283744","2393870.521",
"2020-10-30 00:00","389.763993277","2393870.521",
"2020-10-31 00:00","387.8484160652","2393870.521",
"2020-11-01 00:00","386.2428925419","2412786.5789",
"2020-11-02 00:00","381.8764424408","2433069.6693",
"2020-11-03 00:00","383.5418863092","2432986.7988",
"2020-11-04 00:00","413.621220864","2533067.5944",
"2020-11-05 00:00","437.7341645181","2541953.634",
"2020-11-06 00:00","448.4183485124","2541953.634",
"2020-11-07 00:00","452.8383882692","2541953.634",
"2020-11-08 00:00","438.8368734436","2552432.602",
"2020-11-09 00:00","442.7285703991","2552434.4404",
"2020-11-10 00:00","461.9219161549","2552434.4404",
"2020-11-11 00:00","461.2927839621","2552930.8129",
"2020-11-12 00:00","469.1113372702","2575589.0414",
"2020-11-13 00:00","459.0758588503","2575589.0414",
"2020-11-14 00:00","455.9982141214","2575589.0414",
"2020-11-15 00:00","458.705470195","2580878.5501",
"2020-11-16 00:00","473.3078485488","2583657.276",
"2020-11-17 00:00","473.3961295532","2585097.5827",
"2020-11-18 00:00","477.5119763182","2595347.2107",
"2020-11-19 00:00","505.2318793885","2597390.4792",
"2020-11-20 00:00","536.9958734876","2597390.4792",
"2020-11-21 00:00","533.6540393545","2597390.4792",
"2020-11-22 00:00","591.3640666621","2627190.1299",
"2020-11-23 00:00","605.944033434","2628766.0675",
"2020-11-24 00:00","593.6798577572","2635097.8566",
"2020-11-25 00:00","507.4349685179","2635097.8566",
"2020-11-26 00:00","498.9098774487","2661207.4538",
"2020-11-27 00:00","532.3291242465","2661207.4538",
"2020-11-28 00:00","553.8074174676","2661207.4538",
"2020-11-29 00:00","597.8608259943","2666548.1325",
"2020-11-30 00:00","605.087034993","2705717.1325",
"2020-12-01 00:00","590.0098595757","2739207.7356",
"2020-12-02 00:00","618.0763006199","2751395.8782",
"2020-12-03 00:00","588.3194914662","2798674.0194",
"2020-12-04 00:00","591.4777172268","2798674.0194",
"2020-12-05 00:00","594.8518626038","2798674.0194",
"2020-12-06 00:00","595.6634870201","2810499.3528",
"2020-12-07 00:00","574.4364378787","2941753.2049",
"2020-12-08 00:00","568.1122140267","2941551.614508",
"2020-12-09 00:00","557.0126204279","2941350.3410980003",
"2020-12-10 00:00","554.3403227967","2941148.7507220004",
"2020-12-11 00:00","554.8600331418","2941148.7507220004",
"2020-12-12 00:00","584.0933624892","2941148.7507220004",
"2020-12-13 00:00","584.4270862894","2940544.2965599997",
"2020-12-14 00:00","586.0439744868","2940343.02315",
"2020-12-15 00:00","621.3813955769","2940141.7497400003",
"2020-12-16 00:00","665.2238698032","2939940.159364",
"2020-12-17 00:00","637.6776151741","2939738.2520219996",
"2020-12-18 00:00","654.3913210777","2939738.2520219996",
"2020-12-19 00:00","654.4114542301","2939738.2520219996",
"2020-12-20 00:00","612.9115211919","2939133.480894",
"2020-12-21 00:00","628.9378380196","2938933.792314",
"2020-12-22 00:00","606.706566819","2938731.25104",
"2020-12-23 00:00","613.0100419657","2938531.56246",
"2020-12-24 00:00","615.0911560501","2938531.56246",
"2020-12-25 00:00","628.651935935","2938531.56246",
"2020-12-26 00:00","696.5416593312","2938531.56246",
"2020-12-27 00:00","729.5252548617","2937727.1027519996",
"2020-12-28 00:00","719.9523473952","2937524.561478",
"2020-12-29 00:00","734.992851563","2937324.8728980003",
"2020-12-30 00:00","736.4318770596","2937122.331624",
"2020-12-31 00:00","736.6619010619","2937122.331624",
"2021-01-01 00:00","766.4270767139","2937122.331624",
"2021-01-02 00:00","917.2087436092","2937122.331624",
"2021-01-03 00:00","1040.0829332349","2936317.871916",
"2021-01-04 00:00","1053.6694340765","2936115.330642",
"2021-01-05 00:00","1145.3560548975","2935915.642062",
"2021-01-06 00:00","1246.3776733691","2935713.100788",
"2021-01-07 00:00","1214.1955520782","2935513.412208",
"2021-01-08 00:00","1223.4349293707","2935513.412208",
"2021-01-09 00:00","1307.9137739419","2935513.412208",
