时间,币价,区块数
"2015-11-17 00:00","1.00797558","5075.0000000000",
"2015-11-18 00:00","0.99331909","4977.0000000000",
"2015-11-19 00:00","0.95553195","4721.0000000000",
"2015-11-20 00:00","0.92491966","5035.0000000000",
"2015-11-21 00:00","0.97613966","5049.0000000000",
"2015-11-22 00:00","0.96801782","5089.0000000000",
"2015-11-23 00:00","0.94696921","5001.0000000000",
"2015-11-24 00:00","0.90019119","4940.0000000000",
"2015-11-25 00:00","0.86353725","4940.0000000000",
"2015-11-26 00:00","0.88418305","5174.0000000000",
"2015-11-27 00:00","0.8679511","5008.0000000000",
"2015-11-28 00:00","0.91570282","5050.0000000000",
"2015-11-29 00:00","0.87861377","5080.0000000000",
"2015-11-30 00:00","0.87311912","5078.0000000000",
"2015-12-01 00:00","0.87479961","4824.0000000000",
"2015-12-02 00:00","0.82120973","5205.0000000000",
"2015-12-03 00:00","0.81214267","5008.0000000000",
"2015-12-04 00:00","0.8400414","5006.0000000000",
"2015-12-05 00:00","0.86243778","4913.0000000000",
"2015-12-06 00:00","0.83550012","4971.0000000000",
"2015-12-07 00:00","0.81126428","4911.0000000000",
"2015-12-08 00:00","0.82211804","5208.0000000000",
"2015-12-09 00:00","0.79216707","5144.0000000000",
"2015-12-10 00:00","0.84039587","5062.0000000000",
"2015-12-11 00:00","0.92976224","5076.0000000000",
"2015-12-12 00:00","0.97697264","5280.0000000000",
"2015-12-13 00:00","0.95288384","4999.0000000000",
"2015-12-14 00:00","0.99302226","5070.0000000000",
"2015-12-15 00:00","1.01414597","4982.0000000000",
"2015-12-16 00:00","0.99118167","5060.0000000000",
"2015-12-17 00:00","0.94070083","5020.0000000000",
"2015-12-18 00:00","0.92012739","5038.0000000000",
"2015-12-19 00:00","0.90807152","4947.0000000000",
"2015-12-20 00:00","0.90388465","4976.0000000000",
"2015-12-21 00:00","0.9007706","5129.0000000000",
"2015-12-22 00:00","0.86420166","5112.0000000000",
"2015-12-23 00:00","0.85807729","5018.0000000000",
"2015-12-24 00:00","0.86326188","5080.0000000000",
"2015-12-25 00:00","0.87036282","5004.0000000000",
"2015-12-26 00:00","0.85460323","5018.0000000000",
"2015-12-27 00:00","0.85636461","5081.0000000000",
"2015-12-28 00:00","0.8450051","4981.0000000000",
"2015-12-29 00:00","0.87305421","5028.0000000000",
"2015-12-30 00:00","0.91195798","5040.0000000000",
"2015-12-31 00:00","0.93354231","4885.0000000000",
"2016-01-01 00:00","0.94802439","5095.0000000000",
"2016-01-02 00:00","0.93712407","5134.0000000000",
"2016-01-03 00:00","0.97190481","5096.0000000000",
"2016-01-04 00:00","0.95448023","5126.0000000000",
"2016-01-05 00:00","0.95017588","5090.0000000000",
"2016-01-06 00:00","0.95085979","4981.0000000000",
"2016-01-07 00:00","0.94200456","5176.0000000000",
"2016-01-08 00:00","0.98678917","5099.0000000000",
"2016-01-09 00:00","0.98683339","5093.0000000000",
"2016-01-10 00:00","0.99923068","5107.0000000000",
"2016-01-11 00:00","1.0615958","4930.0000000000",
"2016-01-12 00:00","1.14100134","5002.0000000000",
"2016-01-13 00:00","1.12520289","5090.0000000000",
"2016-01-14 00:00","1.18958628","5084.0000000000",
"2016-01-15 00:00","1.20801461","5046.0000000000",
"2016-01-16 00:00","1.22029054","5036.0000000000",
"2016-01-17 00:00","1.32746649","5072.0000000000",
"2016-01-18 00:00","1.42633688","4972.0000000000",
"2016-01-19 00:00","1.37139285","5038.0000000000",
"2016-01-20 00:00","1.53181744","4963.0000000000",
"2016-01-21 00:00","1.55356717","5007.0000000000",
"2016-01-22 00:00","1.50126517","4928.0000000000",
"2016-01-23 00:00","1.97266793","5168.0000000000",
"2016-01-24 00:00","2.14119911","4881.0000000000",
"2016-01-25 00:00","2.49927235","5152.0000000000",
"2016-01-26 00:00","2.27637196","4983.0000000000",
"2016-01-27 00:00","2.38854671","5059.0000000000",
"2016-01-28 00:00","2.52648711","4981.0000000000",
"2016-01-29 00:00","2.49496174","5017.0000000000",
"2016-01-30 00:00","2.44506311","4872.0000000000",
"2016-01-31 00:00","2.30604291","5015.0000000000",
"2016-02-01 00:00","2.21168852","4955.0000000000",
"2016-02-02 00:00","2.43964028","5199.0000000000",
"2016-02-03 00:00","2.52868819","5062.0000000000",
"2016-02-04 00:00","2.57804036","5046.0000000000",
"2016-02-05 00:00","2.53899145","4987.0000000000",
"2016-02-06 00:00","2.53446054","5087.0000000000",
"2016-02-07 00:00","2.96433783","5071.0000000000",
"2016-02-08 00:00","3.17978644","5055.0000000000",
"2016-02-09 00:00","4.04464245","4961.0000000000",
"2016-02-10 00:00","4.43626165","5019.0000000000",
"2016-02-11 00:00","6.01310158","5033.0000000000",
"2016-02-12 00:00","5.54697657","5093.0000000000",
"2016-02-13 00:00","5.38531876","4990.0000000000",
"2016-02-14 00:00","5.2397294","4975.0000000000",
"2016-02-15 00:00","5.28835154","5025.0000000000",
"2016-02-16 00:00","4.31529093","4857.0000000000",
"2016-02-17 00:00","3.75724053","4999.0000000000",
"2016-02-18 00:00","4.39913368","5033.0000000000",
"2016-02-19 00:00","4.73789215","5051.0000000000",
"2016-02-20 00:00","4.34132528","5055.0000000000",
"2016-02-21 00:00","4.65361786","5103.0000000000",
"2016-02-22 00:00","5.61650419","4969.0000000000",
"2016-02-23 00:00","5.58620644","5029.0000000000",
"2016-02-24 00:00","6.23647213","5128.0000000000",
"2016-02-25 00:00","6.1048007","5055.0000000000",
"2016-02-26 00:00","5.92166948","4992.0000000000",
"2016-02-27 00:00","6.4258585","5029.0000000000",
"2016-02-28 00:00","6.46834803","4820.0000000000",
"2016-02-29 00:00","6.33699465","5052.0000000000",
"2016-03-01 00:00","7.65368795","5086.0000000000",
"2016-03-02 00:00","8.46539021","5014.0000000000",
"2016-03-03 00:00","9.29415035","4994.0000000000",
"2016-03-04 00:00","10.4059763","5138.0000000000",
"2016-03-05 00:00","11.00372696","4907.0000000000",
"2016-03-06 00:00","11.38289928","5026.0000000000",
"2016-03-07 00:00","9.55262756","5017.0000000000",
"2016-03-08 00:00","9.84720898","4989.0000000000",
"2016-03-09 00:00","11.89802456","5196.0000000000",
"2016-03-10 00:00","11.30498314","5065.0000000000",
"2016-03-11 00:00","11.08280182","5023.0000000000",
"2016-03-12 00:00","13.53334332","5186.0000000000",
"2016-03-13 00:00","14.47500515","5108.0000000000",
"2016-03-14 00:00","12.45259762","5979.0000000000",
"2016-03-15 00:00","13.01002026","6025.0000000000",
