时间,币价,平均单笔手续费
"2015-12-06 00:00","0.83550012","0.0013503400",
"2015-12-07 00:00","0.81126428","0.0013657200",
"2015-12-08 00:00","0.82211804","0.0014479300",
"2015-12-09 00:00","0.79216707","0.0015235000",
"2015-12-10 00:00","0.84039587","0.0020792700",
"2015-12-11 00:00","0.92976224","0.0028181800",
"2015-12-12 00:00","0.97697264","0.0025225000",
"2015-12-13 00:00","0.95288384","0.0048008000",
"2015-12-14 00:00","0.99302226","0.0054226900",
"2015-12-15 00:00","1.01414597","0.0042912200",
"2015-12-16 00:00","0.99118167","0.0033709000",
"2015-12-17 00:00","0.94070083","0.0035630400",
"2015-12-18 00:00","0.92012739","0.0030616500",
"2015-12-19 00:00","0.90807152","0.0034848800",
"2015-12-20 00:00","0.90388465","0.0032429100",
"2015-12-21 00:00","0.9007706","0.0028136500",
"2015-12-22 00:00","0.86420166","0.0035807400",
"2015-12-23 00:00","0.85807729","0.0033907400",
"2015-12-24 00:00","0.86326188","0.0027932000",
"2015-12-25 00:00","0.87036282","0.0029177900",
"2015-12-26 00:00","0.85460323","0.0039618800",
"2015-12-27 00:00","0.85636461","0.0029431200",
"2015-12-28 00:00","0.8450051","0.0029221000",
"2015-12-29 00:00","0.87305421","0.0034976000",
"2015-12-30 00:00","0.91195798","0.0024334800",
"2015-12-31 00:00","0.93354231","0.0019010000",
"2016-01-01 00:00","0.94802439","0.0021125900",
"2016-01-02 00:00","0.93712407","0.0021007000",
"2016-01-03 00:00","0.97190481","0.0022493600",
"2016-01-04 00:00","0.95448023","0.0036735500",
"2016-01-05 00:00","0.95017588","0.0038968000",
"2016-01-06 00:00","0.95085979","0.0029674500",
"2016-01-07 00:00","0.94200456","0.0023857000",
"2016-01-08 00:00","0.98678917","0.0033325300",
"2016-01-09 00:00","0.98683339","0.0025509700",
"2016-01-10 00:00","0.99923068","0.0023422000",
"2016-01-11 00:00","1.0615958","0.0023596700",
"2016-01-12 00:00","1.14100134","0.0034142400",
"2016-01-13 00:00","1.12520289","0.0025134900",
"2016-01-14 00:00","1.18958628","0.0023453300",
"2016-01-15 00:00","1.20801461","0.0021239900",
"2016-01-16 00:00","1.22029054","0.0017482000",
"2016-01-17 00:00","1.32746649","0.0023938400",
"2016-01-18 00:00","1.42633688","0.0026510400",
"2016-01-19 00:00","1.37139285","0.0017920400",
"2016-01-20 00:00","1.53181744","0.0018908100",
"2016-01-21 00:00","1.55356717","0.0022516800",
"2016-01-22 00:00","1.50126517","0.0015812100",
"2016-01-23 00:00","1.97266793","0.0018542600",
"2016-01-24 00:00","2.14119911","0.0023474800",
"2016-01-25 00:00","2.49927235","0.0022953200",
"2016-01-26 00:00","2.27637196","0.0030330300",
"2016-01-27 00:00","2.38854671","0.0024668100",
"2016-01-28 00:00","2.52648711","0.0022818100",
"2016-01-29 00:00","2.49496174","0.0024165700",
"2016-01-30 00:00","2.44506311","0.0023919100",
"2016-01-31 00:00","2.30604291","0.0022916600",
"2016-02-01 00:00","2.21168852","0.0020616400",
"2016-02-02 00:00","2.43964028","0.0019426400",
"2016-02-03 00:00","2.52868819","0.0022766300",
"2016-02-04 00:00","2.57804036","0.0025558600",
"2016-02-05 00:00","2.53899145","0.0076638500",
"2016-02-06 00:00","2.53446054","0.0037241100",
"2016-02-07 00:00","2.96433783","0.0025689500",
"2016-02-08 00:00","3.17978644","0.0032330300",
"2016-02-09 00:00","4.04464245","0.0034352900",
"2016-02-10 00:00","4.43626165","0.0021699400",
"2016-02-11 00:00","6.01310158","0.0018259200",
"2016-02-12 00:00","5.54697657","0.0018688100",
"2016-02-13 00:00","5.38531876","0.0016706600",
"2016-02-14 00:00","5.2397294","0.0017906300",
"2016-02-15 00:00","5.28835154","0.0018972300",
"2016-02-16 00:00","4.31529093","0.0020520000",
"2016-02-17 00:00","3.75724053","0.0017249100",
"2016-02-18 00:00","4.39913368","0.0020115100",
"2016-02-19 00:00","4.73789215","0.0016029500",
"2016-02-20 00:00","4.34132528","0.0016438300",
"2016-02-21 00:00","4.65361786","0.0017894000",
"2016-02-22 00:00","5.61650419","0.0050949200",
"2016-02-23 00:00","5.58620644","0.0026628500",
"2016-02-24 00:00","6.23647213","0.0016209200",
"2016-02-25 00:00","6.1048007","0.0024141700",
"2016-02-26 00:00","5.92166948","0.0014949000",
"2016-02-27 00:00","6.4258585","0.0015400900",
"2016-02-28 00:00","6.46834803","0.0016182400",
"2016-02-29 00:00","6.33699465","0.0015589500",
"2016-03-01 00:00","7.65368795","0.0016585500",
"2016-03-02 00:00","8.46539021","0.0014225800",
"2016-03-03 00:00","9.29415035","0.0013984100",
"2016-03-04 00:00","10.4059763","0.0012501600",
"2016-03-05 00:00","11.00372696","0.0013626400",
"2016-03-06 00:00","11.38289928","0.0013053700",
"2016-03-07 00:00","9.55262756","0.0013834400",
"2016-03-08 00:00","9.84720898","0.0010613700",
"2016-03-09 00:00","11.89802456","0.0008199700",
"2016-03-10 00:00","11.30498314","0.0008323800",
"2016-03-11 00:00","11.08280182","0.0008711600",
"2016-03-12 00:00","13.53334332","0.0009116400",
"2016-03-13 00:00","14.47500515","0.0009740900",
"2016-03-14 00:00","12.45259762","0.0008203100",
"2016-03-15 00:00","13.01002026","0.0008650800",
"2016-03-16 00:00","12.52089119","0.0009444400",
"2016-03-17 00:00","11.08146954","0.0008620900",
"2016-03-18 00:00","10.99812794","0.0012733400",
"2016-03-19 00:00","10.53070736","0.0011011500",
"2016-03-20 00:00","10.3197794","0.0009985000",
"2016-03-21 00:00","11.86412048","0.0007947500",
"2016-03-22 00:00","11.27481174","0.0010274400",
"2016-03-23 00:00","12.41674995","0.0011207900",
"2016-03-24 00:00","11.23501301","0.0010977300",
"2016-03-25 00:00","10.74315929","0.0009566200",
"2016-03-26 00:00","10.97396755","0.0006408900",
"2016-03-27 00:00","10.4192009","0.0007848800",
"2016-03-28 00:00","11.66560268","0.0007050800",
"2016-03-29 00:00","11.6564436","0.0010166000",
"2016-03-30 00:00","11.952878","0.0007756500",
"2016-03-31 00:00","11.40353775","0.0007274100",
"2016-04-01 00:00","11.66358757","0.0006153600",
"2016-04-02 00:00","11.598876","0.0006062200",
"2016-04-03 00:00","11.61833286","0.0007124500",
"2016-04-04 00:00","11.15727425","0.0007302700",
"2016-04-05 00:00","10.43812466","0.0006758300",
