时间,币价,每日叔块奖励
"2015-11-19 00:00","0.95553195","1394.8600000000",
"2015-11-20 00:00","0.92491966","1430.5000000000",
"2015-11-21 00:00","0.97613966","1619.5600000000",
"2015-11-22 00:00","0.96801782","1695.4500000000",
"2015-11-23 00:00","0.94696921","1662.8600000000",
"2015-11-24 00:00","0.90019119","1501.2300000000",
"2015-11-25 00:00","0.86353725","1534.8700000000",
"2015-11-26 00:00","0.88418305","1697.7600000000",
"2015-11-27 00:00","0.8679511","1837.8600000000",
"2015-11-28 00:00","0.91570282","1820.3200000000",
"2015-11-29 00:00","0.87861377","1600.0800000000",
"2015-11-30 00:00","0.87311912","1795.4700000000",
"2015-12-01 00:00","0.87479961","1533.1000000000",
"2015-12-02 00:00","0.82120973","1595.4500000000",
"2015-12-03 00:00","0.81214267","1274.3200000000",
"2015-12-04 00:00","0.8400414","1241.8200000000",
"2015-12-05 00:00","0.86243778","1415.9000000000",
"2015-12-06 00:00","0.83550012","1465.6300000000",
"2015-12-07 00:00","0.81126428","1332.0600000000",
"2015-12-08 00:00","0.82211804","1723.0700000000",
"2015-12-09 00:00","0.79216707","1335.5600000000",
"2015-12-10 00:00","0.84039587","1374.0700000000",
"2015-12-11 00:00","0.92976224","1681.4600000000",
"2015-12-12 00:00","0.97697264","1404.6000000000",
"2015-12-13 00:00","0.95288384","1619.5400000000",
"2015-12-14 00:00","0.99302226","1595.3200000000",
"2015-12-15 00:00","1.01414597","1474.2800000000",
"2015-12-16 00:00","0.99118167","1502.9000000000",
"2015-12-17 00:00","0.94070083","1384.7600000000",
"2015-12-18 00:00","0.92012739","1305.1300000000",
"2015-12-19 00:00","0.90807152","1496.5400000000",
"2015-12-20 00:00","0.90388465","1377.5900000000",
"2015-12-21 00:00","0.9007706","1484.3900000000",
"2015-12-22 00:00","0.86420166","1535.5200000000",
"2015-12-23 00:00","0.85807729","1320.3600000000",
"2015-12-24 00:00","0.86326188","1179.3500000000",
"2015-12-25 00:00","0.87036282","1288.3100000000",
"2015-12-26 00:00","0.85460323","1432.7500000000",
"2015-12-27 00:00","0.85636461","1382.0700000000",
"2015-12-28 00:00","0.8450051","1419.5900000000",
"2015-12-29 00:00","0.87305421","1374.5900000000",
"2015-12-30 00:00","0.91195798","1571.8300000000",
"2015-12-31 00:00","0.93354231","1495.3100000000",
"2016-01-01 00:00","0.94802439","1759.6900000000",
"2016-01-02 00:00","0.93712407","1825.9700000000",
"2016-01-03 00:00","0.97190481","1797.0600000000",
"2016-01-04 00:00","0.95448023","2034.7600000000",
"2016-01-05 00:00","0.95017588","1972.1700000000",
"2016-01-06 00:00","0.95085979","1952.2300000000",
"2016-01-07 00:00","0.94200456","1965.0200000000",
"2016-01-08 00:00","0.98678917","1977.0500000000",
"2016-01-09 00:00","0.98683339","1707.3900000000",
"2016-01-10 00:00","0.99923068","1499.8600000000",
"2016-01-11 00:00","1.0615958","1306.9800000000",
"2016-01-12 00:00","1.14100134","1653.3300000000",
"2016-01-13 00:00","1.12520289","1595.1600000000",
"2016-01-14 00:00","1.18958628","1604.7700000000",
"2016-01-15 00:00","1.20801461","1513.8700000000",
"2016-01-16 00:00","1.22029054","1691.9000000000",
"2016-01-17 00:00","1.32746649","1705.2000000000",
"2016-01-18 00:00","1.42633688","1694.3500000000",
"2016-01-19 00:00","1.37139285","1796.1200000000",
"2016-01-20 00:00","1.53181744","1619.2300000000",
"2016-01-21 00:00","1.55356717","1766.4900000000",
"2016-01-22 00:00","1.50126517","1810.5200000000",
"2016-01-23 00:00","1.97266793","2977.4400000000",
"2016-01-24 00:00","2.14119911","2605.1900000000",
"2016-01-25 00:00","2.49927235","3193.3200000000",
"2016-01-26 00:00","2.27637196","2782.9800000000",
"2016-01-27 00:00","2.38854671","2926.0200000000",
