时间,币价,活跃地址数
"2015-11-17 00:00","1.00797558","1897.0000000000",
"2015-11-18 00:00","0.99331909","1899.0000000000",
"2015-11-19 00:00","0.95553195","1783.0000000000",
"2015-11-20 00:00","0.92491966","1752.0000000000",
"2015-11-21 00:00","0.97613966","2044.0000000000",
"2015-11-22 00:00","0.96801782","1794.0000000000",
"2015-11-23 00:00","0.94696921","1865.0000000000",
"2015-11-24 00:00","0.90019119","1737.0000000000",
"2015-11-25 00:00","0.86353725","1825.0000000000",
"2015-11-26 00:00","0.88418305","1667.0000000000",
"2015-11-27 00:00","0.8679511","1666.0000000000",
"2015-11-28 00:00","0.91570282","1687.0000000000",
"2015-11-29 00:00","0.87861377","1807.0000000000",
"2015-11-30 00:00","0.87311912","1799.0000000000",
"2015-12-01 00:00","0.87479961","1699.0000000000",
"2015-12-02 00:00","0.82120973","1793.0000000000",
"2015-12-03 00:00","0.81214267","1803.0000000000",
"2015-12-04 00:00","0.8400414","1786.0000000000",
"2015-12-05 00:00","0.86243778","2163.0000000000",
"2015-12-06 00:00","0.83550012","1985.0000000000",
"2015-12-07 00:00","0.81126428","1827.0000000000",
"2015-12-08 00:00","0.82211804","1779.0000000000",
"2015-12-09 00:00","0.79216707","1816.0000000000",
"2015-12-10 00:00","0.84039587","1832.0000000000",
"2015-12-11 00:00","0.92976224","2178.0000000000",
"2015-12-12 00:00","0.97697264","2027.0000000000",
"2015-12-13 00:00","0.95288384","2225.0000000000",
"2015-12-14 00:00","0.99302226","2190.0000000000",
"2015-12-15 00:00","1.01414597","2179.0000000000",
"2015-12-16 00:00","0.99118167","2501.0000000000",
"2015-12-17 00:00","0.94070083","2278.0000000000",
"2015-12-18 00:00","0.92012739","2205.0000000000",
"2015-12-19 00:00","0.90807152","2227.0000000000",
"2015-12-20 00:00","0.90388465","2366.0000000000",
"2015-12-21 00:00","0.9007706","2341.0000000000",
"2015-12-22 00:00","0.86420166","2237.0000000000",
"2015-12-23 00:00","0.85807729","2251.0000000000",
"2015-12-24 00:00","0.86326188","2169.0000000000",
"2015-12-25 00:00","0.87036282","2316.0000000000",
"2015-12-26 00:00","0.85460323","2224.0000000000",
"2015-12-27 00:00","0.85636461","2451.0000000000",
"2015-12-28 00:00","0.8450051","2404.0000000000",
"2015-12-29 00:00","0.87305421","2385.0000000000",
"2015-12-30 00:00","0.91195798","2599.0000000000",
"2015-12-31 00:00","0.93354231","2374.0000000000",
"2016-01-01 00:00","0.94802439","2429.0000000000",
"2016-01-02 00:00","0.93712407","2470.0000000000",
"2016-01-03 00:00","0.97190481","2557.0000000000",
"2016-01-04 00:00","0.95448023","2557.0000000000",
"2016-01-05 00:00","0.95017588","2673.0000000000",
"2016-01-06 00:00","0.95085979","2720.0000000000",
"2016-01-07 00:00","0.94200456","2630.0000000000",
"2016-01-08 00:00","0.98678917","2696.0000000000",
"2016-01-09 00:00","0.98683339","2847.0000000000",
"2016-01-10 00:00","0.99923068","2994.0000000000",
"2016-01-11 00:00","1.0615958","3013.0000000000",
"2016-01-12 00:00","1.14100134","2843.0000000000",
"2016-01-13 00:00","1.12520289","2768.0000000000",
"2016-01-14 00:00","1.18958628","3153.0000000000",
"2016-01-15 00:00","1.20801461","2703.0000000000",
"2016-01-16 00:00","1.22029054","2598.0000000000",
"2016-01-17 00:00","1.32746649","3075.0000000000",
"2016-01-18 00:00","1.42633688","2872.0000000000",
"2016-01-19 00:00","1.37139285","3404.0000000000",
"2016-01-20 00:00","1.53181744","2985.0000000000",
"2016-01-21 00:00","1.55356717","3062.0000000000",
"2016-01-22 00:00","1.50126517","3468.0000000000",
"2016-01-23 00:00","1.97266793","3878.0000000000",
"2016-01-24 00:00","2.14119911","4093.0000000000",
"2016-01-25 00:00","2.49927235","4370.0000000000",
"2016-01-26 00:00","2.27637196","4125.0000000000",
"2016-01-27 00:00","2.38854671","4519.0000000000",
"2016-01-28 00:00","2.52648711","4386.0000000000",
"2016-01-29 00:00","2.49496174","4395.0000000000",
"2016-01-30 00:00","2.44506311","4444.0000000000",
"2016-01-31 00:00","2.30604291","4257.0000000000",
"2016-02-01 00:00","2.21168852","4357.0000000000",
"2016-02-02 00:00","2.43964028","4374.0000000000",
"2016-02-03 00:00","2.52868819","4157.0000000000",
"2016-02-04 00:00","2.57804036","4755.0000000000",
"2016-02-05 00:00","2.53899145","3899.0000000000",
"2016-02-06 00:00","2.53446054","4102.0000000000",
"2016-02-07 00:00","2.96433783","4594.0000000000",
"2016-02-08 00:00","3.17978644","4810.0000000000",
"2016-02-09 00:00","4.04464245","6091.0000000000",
"2016-02-10 00:00","4.43626165","8011.0000000000",
"2016-02-11 00:00","6.01310158","6568.0000000000",
"2016-02-12 00:00","5.54697657","6122.0000000000",
"2016-02-13 00:00","5.38531876","5595.0000000000",
"2016-02-14 00:00","5.2397294","5729.0000000000",
"2016-02-15 00:00","5.28835154","5756.0000000000",
"2016-02-16 00:00","4.31529093","5790.0000000000",
"2016-02-17 00:00","3.75724053","5624.0000000000",
"2016-02-18 00:00","4.39913368","6136.0000000000",
"2016-02-19 00:00","4.73789215","5276.0000000000",
"2016-02-20 00:00","4.34132528","6411.0000000000",
"2016-02-21 00:00","4.65361786","6058.0000000000",
"2016-02-22 00:00","5.61650419","6121.0000000000",
"2016-02-23 00:00","5.58620644","6093.0000000000",
"2016-02-24 00:00","6.23647213","6685.0000000000",
"2016-02-25 00:00","6.1048007","6610.0000000000",
"2016-02-26 00:00","5.92166948","5991.0000000000",
"2016-02-27 00:00","6.4258585","6603.0000000000",
"2016-02-28 00:00","6.46834803","7283.0000000000",
"2016-02-29 00:00","6.33699465","7753.0000000000",
"2016-03-01 00:00","7.65368795","8626.0000000000",
"2016-03-02 00:00","8.46539021","9120.0000000000",
"2016-03-03 00:00","9.29415035","9145.0000000000",
"2016-03-04 00:00","10.4059763","10164.0000000000",
"2016-03-05 00:00","11.00372696","9831.0000000000",
"2016-03-06 00:00","11.38289928","8154.0000000000",
"2016-03-07 00:00","9.55262756","9615.0000000000",
"2016-03-08 00:00","9.84720898","9393.0000000000",
"2016-03-09 00:00","11.89802456","9883.0000000000",
"2016-03-10 00:00","11.30498314","9559.0000000000",
"2016-03-11 00:00","11.08280182","10065.0000000000",
"2016-03-12 00:00","13.53334332","10256.0000000000",
"2016-03-13 00:00","14.47500515","10582.0000000000",
"2016-03-14 00:00","12.45259762","10502.0000000000",
"2016-03-15 00:00","13.01002026","9774.0000000000",
"2016-03-16 00:00","12.52089119","10373.0000000000",
"2016-03-17 00:00","11.08146954","10859.0000000000",
"2016-03-18 00:00","10.99812794","9650.0000000000",
"2016-03-19 00:00","10.53070736","10225.0000000000",
"2016-03-20 00:00","10.3197794","10678.0000000000",
"2016-03-21 00:00","11.86412048","11766.0000000000",
"2016-03-22 00:00","11.27481174","10785.0000000000",
"2016-03-23 00:00","12.41674995","12760.0000000000",
"2016-03-24 00:00","11.23501301","11377.0000000000",
"2016-03-25 00:00","10.74315929","15093.0000000000",
"2016-03-26 00:00","10.97396755","11144.0000000000",
"2016-03-27 00:00","10.4192009","13407.0000000000",
"2016-03-28 00:00","11.66560268","12941.0000000000",
"2016-03-29 00:00","11.6564436","14676.0000000000",
"2016-03-30 00:00","11.952878","12650.0000000000",
"2016-03-31 00:00","11.40353775","13148.0000000000",
"2016-04-01 00:00","11.66358757","11345.0000000000",
"2016-04-02 00:00","11.598876","11319.0000000000",
"2016-04-03 00:00","11.61833286","13956.0000000000",
"2016-04-04 00:00","11.15727425","18068.0000000000",
"2016-04-05 00:00","10.43812466","12985.0000000000",
"2016-04-06 00:00","10.68538189","13478.0000000000",
"2016-04-07 00:00","10.06968307","13914.0000000000",
"2016-04-08 00:00","9.71958637","12918.0000000000",
"2016-04-09 00:00","9.15061855","13323.0000000000",
"2016-04-10 00:00","8.93634224","12535.0000000000",
"2016-04-11 00:00","8.64378929","14005.0000000000",
"2016-04-12 00:00","7.44231272","13958.0000000000",
"2016-04-13 00:00","8.04442024","13316.0000000000",
"2016-04-14 00:00","8.38724041","15813.0000000000",
"2016-04-15 00:00","8.24278069","12190.0000000000",
"2016-04-16 00:00","8.60949898","12763.0000000000",
"2016-04-17 00:00","9.30909824","13524.0000000000",
"2016-04-18 00:00","9.03599834","13252.0000000000",
"2016-04-19 00:00","8.71487713","13533.0000000000",
"2016-04-20 00:00","8.46579361","14288.0000000000",
"2016-04-21 00:00","8.10217285","13119.0000000000",
"2016-04-22 00:00","7.82126379","12824.0000000000",
"2016-04-23 00:00","8.29479218","14108.0000000000",
"2016-04-24 00:00","8.00135231","16117.0000000000",
"2016-04-25 00:00","7.5543375","14007.0000000000",
"2016-04-26 00:00","7.39704084","13496.0000000000",
"2016-04-27 00:00","7.75997066","13980.0000000000",
"2016-04-28 00:00","7.17252827","15715.0000000000",
"2016-04-29 00:00","7.45728827","19946.0000000000",
"2016-04-30 00:00","8.81397915","16434.0000000000",
"2016-05-01 00:00","8.8465023","17853.0000000000",
"2016-05-02 00:00","10.16323185","15179.0000000000",
"2016-05-03 00:00","9.31127167","15291.0000000000",
"2016-05-04 00:00","9.41376877","15088.0000000000",
"2016-05-05 00:00","9.8261013","17365.0000000000",
"2016-05-06 00:00","9.34663868","14497.0000000000",
"2016-05-07 00:00","9.37050915","15693.0000000000",
"2016-05-08 00:00","9.48293018","15608.0000000000",
"2016-05-09 00:00","9.29773235","15675.0000000000",
"2016-05-10 00:00","9.36151505","17226.0000000000",
"2016-05-11 00:00","9.99627781","18924.0000000000",
"2016-05-12 00:00","10.05779934","19050.0000000000",
"2016-05-13 00:00","10.50657082","17517.0000000000",
"2016-05-14 00:00","10.23973179","16368.0000000000",
"2016-05-15 00:00","9.9623518","16235.0000000000",
"2016-05-16 00:00","11.17129898","17387.0000000000",
"2016-05-17 00:00","12.1987505","20444.0000000000",
"2016-05-18 00:00","13.55858231","19902.0000000000",
"2016-05-19 00:00","14.76970387","20030.0000000000",
"2016-05-20 00:00","13.63562298","19182.0000000000",
"2016-05-21 00:00","14.01504421","16194.0000000000",
"2016-05-22 00:00","14.28610992","18489.0000000000",
"2016-05-23 00:00","13.46151066","17629.0000000000",
"2016-05-24 00:00","12.73231983","18637.0000000000",
"2016-05-25 00:00","12.52603245","24810.0000000000",
"2016-05-26 00:00","12.43041801","20485.0000000000",
"2016-05-27 00:00","11.29575253","32241.0000000000",
"2016-05-28 00:00","11.89294243","20346.0000000000",
"2016-05-29 00:00","12.35042667","18458.0000000000",
"2016-05-30 00:00","12.72528076","19109.0000000000",
"2016-05-31 00:00","14.07725048","18371.0000000000",
"2016-06-01 00:00","14.00150299","17988.0000000000",
"2016-06-02 00:00","13.73803997","17359.0000000000",
"2016-06-03 00:00","13.8466959","17050.0000000000",
"2016-06-04 00:00","13.74044323","16999.0000000000",
"2016-06-05 00:00","13.97502708","18307.0000000000",
"2016-06-06 00:00","13.93407631","22012.0000000000",
"2016-06-07 00:00","14.51203537","18906.0000000000",
"2016-06-08 00:00","14.41773224","18246.0000000000",
"2016-06-09 00:00","14.39861774","19034.0000000000",
"2016-06-10 00:00","13.90864468","16210.0000000000",
"2016-06-11 00:00","14.19161892","19763.0000000000",
"2016-06-12 00:00","15.74371529","22878.0000000000",
"2016-06-13 00:00","17.60272408","23221.0000000000",
"2016-06-14 00:00","18.89321709","20355.0000000000",
"2016-06-15 00:00","18.35429001","20851.0000000000",
"2016-06-16 00:00","20.58860207","36192.0000000000",
"2016-06-17 00:00","15.37683868","35671.0000000000",
"2016-06-18 00:00","11.33068657","24898.0000000000",
"2016-06-19 00:00","12.23420715","24052.0000000000",
"2016-06-20 00:00","11.83953381","23564.0000000000",
"2016-06-21 00:00","13.30673122","25497.0000000000",
"2016-06-22 00:00","13.09510899","20737.0000000000",
