时间,币价,挖币数量
"2015-11-17 00:00","1.00797558","25461.0000000000",
"2015-11-18 00:00","0.99331909","24970.0000000000",
"2015-11-19 00:00","0.95553195","23679.0000000000",
"2015-11-20 00:00","0.92491966","25252.0000000000",
"2015-11-21 00:00","0.97613966","25327.0000000000",
"2015-11-22 00:00","0.96801782","25533.0000000000",
"2015-11-23 00:00","0.94696921","25093.0000000000",
"2015-11-24 00:00","0.90019119","24784.0000000000",
"2015-11-25 00:00","0.86353725","24785.0000000000",
"2015-11-26 00:00","0.88418305","25961.0000000000",
"2015-11-27 00:00","0.8679511","25143.0000000000",
"2015-11-28 00:00","0.91570282","25345.0000000000",
"2015-11-29 00:00","0.87861377","25501.0000000000",
"2015-11-30 00:00","0.87311912","25491.0000000000",
"2015-12-01 00:00","0.87479961","24209.0000000000",
"2015-12-02 00:00","0.82120973","26119.0000000000",
"2015-12-03 00:00","0.81214267","25119.0000000000",
"2015-12-04 00:00","0.8400414","25107.0000000000",
"2015-12-05 00:00","0.86243778","24652.0000000000",
"2015-12-06 00:00","0.83550012","24941.0000000000",
"2015-12-07 00:00","0.81126428","24636.0000000000",
"2015-12-08 00:00","0.82211804","26144.0000000000",
"2015-12-09 00:00","0.79216707","25804.0000000000",
"2015-12-10 00:00","0.84039587","25397.0000000000",
"2015-12-11 00:00","0.92976224","25479.0000000000",
"2015-12-12 00:00","0.97697264","26481.0000000000",
"2015-12-13 00:00","0.95288384","25140.0000000000",
"2015-12-14 00:00","0.99302226","25533.0000000000",
"2015-12-15 00:00","1.01414597","25017.0000000000",
"2015-12-16 00:00","0.99118167","25398.0000000000",
"2015-12-17 00:00","0.94070083","25196.0000000000",
"2015-12-18 00:00","0.92012739","25281.0000000000",
"2015-12-19 00:00","0.90807152","24839.0000000000",
"2015-12-20 00:00","0.90388465","24984.0000000000",
"2015-12-21 00:00","0.9007706","25775.0000000000",
"2015-12-22 00:00","0.86420166","25717.0000000000",
"2015-12-23 00:00","0.85807729","25201.0000000000",
"2015-12-24 00:00","0.86326188","25484.0000000000",
"2015-12-25 00:00","0.87036282","25114.0000000000",
"2015-12-26 00:00","0.85460323","25249.0000000000",
"2015-12-27 00:00","0.85636461","25509.0000000000",
