时间,币价,每日区块奖励
"2016-01-04 00:00","0.95448023","24766.6923000000",
"2016-01-05 00:00","0.95017588","24213.3907000000",
"2016-01-06 00:00","0.95085979","24097.7338000000",
"2016-01-07 00:00","0.94200456","25160.7397000000",
"2016-01-08 00:00","0.98678917","25145.9551000000",
"2016-01-09 00:00","0.98683339","24980.0369000000",
"2016-01-10 00:00","0.99923068","27266.1819000000",
"2016-01-11 00:00","1.0615958","26945.5467000000",
"2016-01-12 00:00","1.14100134","28412.4953000000",
"2016-01-13 00:00","1.12520289","28916.3332000000",
"2016-01-14 00:00","1.18958628","30986.4328000000",
"2016-01-15 00:00","1.20801461","30911.2618000000",
"2016-01-16 00:00","1.22029054","31405.3997000000",
"2016-01-17 00:00","1.32746649","35911.1974000000",
"2016-01-18 00:00","1.42633688","35763.5726000000",
"2016-01-19 00:00","1.37139285","35008.3071000000",
"2016-01-20 00:00","1.53181744","38075.4931000000",
"2016-01-21 00:00","1.55356717","37942.2011000000",
"2016-01-22 00:00","1.50126517","41319.4656000000",
"2016-01-23 00:00","1.97266793","57439.2941000000",
"2016-01-24 00:00","2.14119911","51549.5310000000",
"2016-01-25 00:00","2.49927235","70063.9508000000",
"2016-01-26 00:00","2.27637196","61284.1433000000",
"2016-01-27 00:00","2.38854671","61016.2866000000",
"2016-01-28 00:00","2.52648711","63675.4783000000",
"2016-01-29 00:00","2.49496174","63911.0337000000",
"2016-01-30 00:00","2.44506311","60015.1640000000",
"2016-01-31 00:00","2.30604291","53452.1662000000",
"2016-02-01 00:00","2.21168852","54167.1633000000",
"2016-02-02 00:00","2.43964028","61272.2222000000",
"2016-02-03 00:00","2.52868819","64785.5947000000",
"2016-02-04 00:00","2.57804036","64030.0687000000",
"2016-02-05 00:00","2.53899145","63238.1308000000",
"2016-02-06 00:00","2.53446054","66006.8834000000",
"2016-02-07 00:00","2.96433783","76694.9213000000",
"2016-02-08 00:00","3.17978644","82492.3835000000",
"2016-02-09 00:00","4.04464245","106361.1266000000",
"2016-02-10 00:00","4.43626165","115999.2425000000",
"2016-02-11 00:00","6.01310158","155832.9023000000",
"2016-02-12 00:00","5.54697657","120440.8513000000",
"2016-02-13 00:00","5.38531876","113650.2924000000",
"2016-02-14 00:00","5.2397294","146949.0595000000",
"2016-02-15 00:00","5.28835154","132801.7523000000",
"2016-02-16 00:00","4.31529093","107192.6541000000",
"2016-02-17 00:00","3.75724053","90475.1719000000",
"2016-02-18 00:00","4.39913368","117593.6834000000",
"2016-02-19 00:00","4.73789215","111352.1657000000",
"2016-02-20 00:00","4.34132528","108267.1309000000",
"2016-02-21 00:00","4.65361786","134262.2206000000",
"2016-02-22 00:00","5.61650419","142787.4833000000",
"2016-02-23 00:00","5.58620644","140931.7317000000",
"2016-02-24 00:00","6.23647213","163410.6925000000",
"2016-02-25 00:00","6.1048007","151638.0817000000",
"2016-02-26 00:00","5.92166948","149147.3437000000",
"2016-02-27 00:00","6.4258585","161434.6955000000",
"2016-02-28 00:00","6.46834803","157913.8292000000",
"2016-02-29 00:00","6.33699465","163687.1499000000",
"2016-03-01 00:00","7.65368795","193245.3815000000",
"2016-03-02 00:00","8.46539021","219132.0825000000",
"2016-03-03 00:00","9.29415035","220325.4894000000",
"2016-03-04 00:00","10.4059763","274340.3188000000",
"2016-03-05 00:00","11.00372696","271626.6577000000",
"2016-03-06 00:00","11.38289928","277523.8274000000",
"2016-03-07 00:00","9.55262756","224887.7285000000",
"2016-03-08 00:00","9.84720898","264723.1941000000",
"2016-03-09 00:00","11.89802456","304410.8882000000",
"2016-03-10 00:00","11.30498314","267096.0548000000",
"2016-03-11 00:00","11.08280182","328956.5867000000",
"2016-03-12 00:00","13.53334332","372584.5980000000",
"2016-03-13 00:00","14.47500515","354018.7944000000",
"2016-03-14 00:00","12.45259762","381838.6312000000",
"2016-03-15 00:00","13.01002026","399166.8062000000",
"2016-03-16 00:00","12.52089119","381772.9119000000",
"2016-03-17 00:00","11.08146954","325210.5699000000",
"2016-03-18 00:00","10.99812794","302075.3395000000",
"2016-03-19 00:00","10.53070736","320997.4263000000",
"2016-03-20 00:00","10.3197794","325148.5938000000",
"2016-03-21 00:00","11.86412048","352635.9156000000",
"2016-03-22 00:00","11.27481174","356656.2586000000",
"2016-03-23 00:00","12.41674995","350944.0071000000",
"2016-03-24 00:00","11.23501301","324940.5720000000",
"2016-03-25 00:00","10.74315929","335569.1352000000",
"2016-03-26 00:00","10.97396755","331173.8253000000",
"2016-03-27 00:00","10.4192009","341758.1326000000",
"2016-03-28 00:00","11.66560268","347138.9113000000",
"2016-03-29 00:00","11.6564436","361353.5236000000",
"2016-03-30 00:00","11.952878","360416.5537000000",
"2016-03-31 00:00","11.40353775","354755.7620000000",
"2016-04-01 00:00","11.66358757","341909.6907000000",
"2016-04-02 00:00","11.598876","349318.9047000000",
"2016-04-03 00:00","11.61833286","352653.8164000000",
"2016-04-04 00:00","11.15727425","327075.6968000000",
"2016-04-05 00:00","10.43812466","309346.3228000000",
"2016-04-06 00:00","10.68538189","319119.7373000000",
"2016-04-07 00:00","10.06968307","303411.4481000000",
"2016-04-08 00:00","9.71958637","294766.1333000000",
"2016-04-09 00:00","9.15061855","270524.7394000000",
"2016-04-10 00:00","8.93634224","248914.5102000000",
"2016-04-11 00:00","8.64378929","236186.6633000000",
"2016-04-12 00:00","7.44231272","223754.3240000000",
"2016-04-13 00:00","8.04442024","264025.8144000000",
"2016-04-14 00:00","8.38724041","258167.1872000000",
"2016-04-15 00:00","8.24278069","246404.2804000000",
"2016-04-16 00:00","8.60949898","268087.2180000000",
"2016-04-17 00:00","9.30909824","279123.4520000000",
"2016-04-18 00:00","9.03599834","272797.9897000000",
"2016-04-19 00:00","8.71487713","263625.3425000000",
"2016-04-20 00:00","8.46579361","258898.1866000000",
"2016-04-21 00:00","8.10217285","248782.7931000000",
"2016-04-22 00:00","7.82126379","240796.8216000000",
"2016-04-23 00:00","8.29479218","245538.1700000000",
"2016-04-24 00:00","8.00135231","247404.8891000000",
"2016-04-25 00:00","7.5543375","211260.5327000000",
"2016-04-26 00:00","7.39704084","227400.6502000000",
"2016-04-27 00:00","7.75997066","221681.7776000000",
"2016-04-28 00:00","7.17252827","230312.7082000000",
"2016-04-29 00:00","7.45728827","234043.4963000000",
"2016-04-30 00:00","8.81397915","263437.3232000000",
"2016-05-01 00:00","8.8465023","296783.9320000000",
"2016-05-02 00:00","10.16323185","296606.2974000000",
"2016-05-03 00:00","9.31127167","296583.0500000000",
"2016-05-04 00:00","9.41376877","290440.1423000000",
"2016-05-05 00:00","9.8261013","294912.4339000000",
"2016-05-06 00:00","9.34663868","281752.4721000000",
"2016-05-07 00:00","9.37050915","273592.1644000000",
"2016-05-08 00:00","9.48293018","289206.1544000000",
"2016-05-09 00:00","9.29773235","282221.9997000000",
"2016-05-10 00:00","9.36151505","284223.9848000000",
"2016-05-11 00:00","9.99627781","309021.0108000000",
"2016-05-12 00:00","10.05779934","332336.5208000000",
"2016-05-13 00:00","10.50657082","298038.4882000000",
"2016-05-14 00:00","10.23973179","306172.3614000000",
"2016-05-15 00:00","9.9623518","299924.6438000000",
"2016-05-16 00:00","11.17129898","357341.9382000000",
"2016-05-17 00:00","12.1987505","398583.5555000000",
"2016-05-18 00:00","13.55858231","426270.4617000000",
"2016-05-19 00:00","14.76970387","448530.4096000000",
"2016-05-20 00:00","13.63562298","406694.6584000000",
"2016-05-21 00:00","14.01504421","425529.4679000000",
"2016-05-22 00:00","14.28610992","424559.8648000000",
"2016-05-23 00:00","13.46151066","387398.2584000000",
"2016-05-24 00:00","12.73231983","372359.5056000000",
"2016-05-25 00:00","12.52603245","371246.3357000000",
"2016-05-26 00:00","12.43041801","331656.3526000000",
"2016-05-27 00:00","11.29575253","353900.4795000000",
"2016-05-28 00:00","11.89294243","368092.0717000000",
"2016-05-29 00:00","12.35042667","374321.4180000000",
"2016-05-30 00:00","12.72528076","390742.3587000000",
"2016-05-31 00:00","14.07725048","408502.8669000000",
"2016-06-01 00:00","14.00150299","423242.8879000000",
"2016-06-02 00:00","13.73803997","414860.6153000000",
"2016-06-03 00:00","13.8466959","412734.4777000000",
"2016-06-04 00:00","13.74044323","414360.6706000000",
"2016-06-05 00:00","13.97502708","424599.2638000000",
"2016-06-06 00:00","13.93407631","418755.6214000000",
"2016-06-07 00:00","14.51203537","443954.0153000000",
"2016-06-08 00:00","14.41773224","442286.8272000000",
"2016-06-09 00:00","14.39861774","419674.4841000000",
"2016-06-10 00:00","13.90864468","423254.6110000000",
"2016-06-11 00:00","14.19161892","437909.5447000000",
"2016-06-12 00:00","15.74371529","509705.1481000000",
"2016-06-13 00:00","17.60272408","561716.3907000000",
"2016-06-14 00:00","18.89321709","546029.4487000000",
"2016-06-15 00:00","18.35429001","586114.9722000000",
"2016-06-16 00:00","20.58860207","524322.8866000000",
"2016-06-17 00:00","15.37683868","394267.2511000000",
"2016-06-18 00:00","11.33068657","390385.6077000000",
"2016-06-19 00:00","12.23420715","338105.1268000000",
"2016-06-20 00:00","11.83953381","377708.0704000000",
"2016-06-21 00:00","13.30673122","424178.2014000000",
"2016-06-22 00:00","13.09510899","388342.4001000000",
"2016-06-23 00:00","13.67622185","420960.2383000000",
"2016-06-24 00:00","14.33205795","429034.3429000000",
"2016-06-25 00:00","14.28302765","428881.6933000000",
"2016-06-26 00:00","13.85019493","424394.0991000000",
"2016-06-27 00:00","13.88386536","414018.4767000000",
"2016-06-28 00:00","12.17556","359113.7099000000",
"2016-06-29 00:00","12.61120892","373699.2968000000",
"2016-06-30 00:00","12.46150208","362822.6696000000",
"2016-07-01 00:00","12.19946003","362449.8521000000",
"2016-07-02 00:00","12.128438","363052.6299000000",
"2016-07-03 00:00","11.7202177","349119.9267000000",
"2016-07-04 00:00","11.47100258","304126.5512000000",
"2016-07-05 00:00","10.61136818","324712.8515000000",
"2016-07-06 00:00","10.52893353","304424.4886000000",
"2016-07-07 00:00","10.10936642","309592.4191000000",
"2016-07-08 00:00","11.39457512","332714.5067000000",
"2016-07-09 00:00","10.96547318","333163.2694000000",
"2016-07-10 00:00","10.94762325","313071.0108000000",
"2016-07-11 00:00","10.45902729","322255.8852000000",
"2016-07-12 00:00","10.51609421","321746.0803000000",
"2016-07-13 00:00","10.50051498","330715.2338000000",
"2016-07-14 00:00","11.51319122","360836.9525000000",
"2016-07-15 00:00","11.95162392","357951.3313000000",
"2016-07-16 00:00","11.65283012","344008.5819000000",
"2016-07-17 00:00","11.15869617","352738.7904000000",
"2016-07-18 00:00","11.03442764","332797.9976000000",
"2016-07-19 00:00","11.61912441","362505.1501000000",
"2016-07-20 00:00","12.45060062","381075.6674000000",
"2016-07-21 00:00","12.65074444","414734.5885000000",
"2016-07-22 00:00","14.66192436","444284.7751000000",
"2016-07-23 00:00","14.29966831","389952.7783000000",
"2016-07-24 00:00","12.74947929","397682.6183000000",
"2016-07-25 00:00","13.83611584","366651.8228000000",
"2016-07-26 00:00","11.98951626","392169.0097000000",
"2016-07-27 00:00","12.97279072","381701.3991000000",
"2016-07-28 00:00","12.84363079","378262.8555000000",
"2016-07-29 00:00","12.79463482","379127.4966000000",
"2016-07-30 00:00","12.46101952","371189.7338000000",
"2016-07-31 00:00","11.87594414","346144.0105000000",
"2016-08-01 00:00","10.94160366","310728.3637000000",
"2016-08-02 00:00","8.78727818","294861.4746000000",
"2016-08-03 00:00","10.29389095","341117.9096000000",
"2016-08-04 00:00","11.0427866","336396.3238000000",
"2016-08-05 00:00","10.92538166","311391.0987000000",
"2016-08-06 00:00","10.88107681","336686.7304000000",
"2016-08-07 00:00","10.91155529","335882.2314000000",
"2016-08-08 00:00","11.2454319","365418.5009000000",
"2016-08-09 00:00","12.2443018","374103.4809000000",
"2016-08-10 00:00","12.14320564","356401.3581000000",
"2016-08-11 00:00","11.69089794","360410.9569000000",
"2016-08-12 00:00","11.77854824","355866.3887000000",
"2016-08-13 00:00","11.57128239","345840.7041000000",
"2016-08-14 00:00","11.19476032","339462.5593000000",
"2016-08-15 00:00","11.21837139","335109.5112000000",
"2016-08-16 00:00","11.13965511","333009.2109000000",
"2016-08-17 00:00","10.75275326","334781.6054000000",
"2016-08-18 00:00","10.75610638","325240.1203000000",
"2016-08-19 00:00","10.74868679","339859.2752000000",
"2016-08-20 00:00","11.24738789","337774.2691000000",
"2016-08-21 00:00","11.17916775","342094.4876000000",
"2016-08-22 00:00","11.12092113","333736.7140000000",
"2016-08-23 00:00","11.03055477","335814.8357000000",
"2016-08-24 00:00","11.03602505","344331.3947000000",
"2016-08-25 00:00","11.35740757","339985.4364000000",
"2016-08-26 00:00","11.29538727","342071.1138000000",
"2016-08-27 00:00","11.1482029","335092.6230000000",
"2016-08-28 00:00","10.92926788","330568.1410000000",
"2016-08-29 00:00","10.98382664","334851.9007000000",
"2016-08-30 00:00","11.22885418","351217.5269000000",
"2016-08-31 00:00","11.67238045","361732.0144000000",
"2016-09-01 00:00","11.99490738","369650.9912000000",
"2016-09-02 00:00","12.11295128","347183.6571000000",
"2016-09-03 00:00","11.75873947","352471.8139000000",
"2016-09-04 00:00","11.67991734","358306.8416000000",
"2016-09-05 00:00","11.71703339","348839.9502000000",
"2016-09-06 00:00","11.68914032","357911.4458000000",
"2016-09-07 00:00","11.54791069","344913.0024000000",
"2016-09-08 00:00","11.34593678","351713.7290000000",
"2016-09-09 00:00","11.65284252","349033.4834000000",
"2016-09-10 00:00","12.1684866","363121.9261000000",
"2016-09-11 00:00","11.63843155","358123.9687000000",
"2016-09-12 00:00","11.89369202","361972.9847000000",
"2016-09-13 00:00","11.91872501","366341.6872000000",
"2016-09-14 00:00","11.92320633","364103.0494000000",
"2016-09-15 00:00","11.93702698","373103.5790000000",
"2016-09-16 00:00","12.55577183","384538.9449000000",
"2016-09-17 00:00","12.69864559","359947.6115000000",
"2016-09-18 00:00","12.43123531","416156.3433000000",
"2016-09-19 00:00","13.18900108","422503.3719000000",
"2016-09-20 00:00","14.43027496","418333.7157000000",
"2016-09-21 00:00","13.76851273","369597.4435000000",
"2016-09-22 00:00","13.24758434","420790.6891000000",
"2016-09-23 00:00","13.3313179","382348.2308000000",
"2016-09-24 00:00","12.87793636","408567.9345000000",
"2016-09-25 00:00","13.10085487","380689.8878000000",
"2016-09-26 00:00","12.8230505","401117.6920000000",
"2016-09-27 00:00","13.09827995","407957.1109000000",
"2016-09-28 00:00","13.27484035","402275.1882000000",
"2016-09-29 00:00","13.07335472","400653.7349000000",
"2016-09-30 00:00","13.22480297","385058.0121000000",
"2016-10-01 00:00","13.17269611","406259.8693000000",
"2016-10-02 00:00","13.19970989","412383.7185000000",
"2016-10-03 00:00","13.45236683","410283.5654000000",
"2016-10-04 00:00","13.27698708","389717.2208000000",
"2016-10-05 00:00","13.03569317","383622.0130000000",
"2016-10-06 00:00","12.85433292","374963.0796000000",
"2016-10-07 00:00","12.66705894","382448.9795000000",
"2016-10-08 00:00","12.21911621","372622.5770000000",
"2016-10-09 00:00","12.05368328","359828.6173000000",
"2016-10-10 00:00","11.75553703","366599.0588000000",
"2016-10-11 00:00","11.78567982","356616.9365000000",
"2016-10-12 00:00","11.93353081","364850.6542000000",
"2016-10-13 00:00","11.9630022","364273.2266000000",
"2016-10-14 00:00","11.93824577","357878.1034000000",
"2016-10-15 00:00","11.98343563","364585.9126000000",
"2016-10-16 00:00","11.9515667","356884.7535000000",
"2016-10-17 00:00","12.0050087","398309.4064000000",
"2016-10-18 00:00","12.58848763","351195.9433000000",
"2016-10-19 00:00","12.02256203","383342.7580000000",
"2016-10-20 00:00","12.098979","369222.3193000000",
"2016-10-21 00:00","12.17536449","365394.6154000000",
"2016-10-22 00:00","12.07148743","361417.2289000000",
"2016-10-23 00:00","12.03603363","364085.6994000000",
"2016-10-24 00:00","11.96895885","346179.4749000000",
"2016-10-25 00:00","11.41400719","354985.1709000000",
"2016-10-26 00:00","11.53199673","349163.9451000000",
"2016-10-27 00:00","11.49969292","334346.5174000000",
"2016-10-28 00:00","11.08507824","271860.1327000000",
"2016-10-29 00:00","10.44459438","318172.6103000000",
"2016-10-30 00:00","11.18276787","337683.6220000000",
"2016-10-31 00:00","10.99822712","314425.5049000000",
"2016-11-01 00:00","10.76613426","328571.8216000000",
"2016-11-02 00:00","10.75260258","328702.2191000000",
"2016-11-03 00:00","10.80099678","323372.0530000000",
"2016-11-04 00:00","11.09069157","331889.2519000000",
"2016-11-05 00:00","11.0025177","330658.7811000000",
"2016-11-06 00:00","10.87350655","343450.2685000000",
"2016-11-07 00:00","10.80883884","332368.8509000000",
"2016-11-08 00:00","10.83365059","319009.4916000000",
"2016-11-09 00:00","10.65554047","316495.4368000000",
"2016-11-10 00:00","10.52449417","315124.3002000000",
"2016-11-11 00:00","10.28994465","307443.1977000000",
"2016-11-12 00:00","9.87795925","317910.3503000000",
