date,transaction_vol
2015-12-30 00:00,10301.0000000000
2015-12-31 00:00,8233.0000000000
2016-01-01 00:00,9164.0000000000
2016-01-02 00:00,9258.0000000000
2016-01-03 00:00,9474.0000000000
2016-01-04 00:00,16430.0000000000
2016-01-05 00:00,17074.0000000000
2016-01-06 00:00,22075.0000000000
2016-01-07 00:00,10919.0000000000
2016-01-08 00:00,11793.0000000000
2016-01-09 00:00,10320.0000000000
2016-01-10 00:00,10893.0000000000
2016-01-11 00:00,10862.0000000000
2016-01-12 00:00,17665.0000000000
2016-01-13 00:00,10653.0000000000
2016-01-14 00:00,9875.0000000000
2016-01-15 00:00,10664.0000000000
2016-01-16 00:00,9747.0000000000
2016-01-17 00:00,12916.0000000000
2016-01-18 00:00,13420.0000000000
2016-01-19 00:00,10610.0000000000
2016-01-20 00:00,10734.0000000000
2016-01-21 00:00,13848.0000000000
2016-01-22 00:00,11025.0000000000
2016-01-23 00:00,12798.0000000000
2016-01-24 00:00,17121.0000000000
2016-01-25 00:00,16511.0000000000
2016-01-26 00:00,18747.0000000000
2016-01-27 00:00,16765.0000000000
2016-01-28 00:00,16395.0000000000
2016-01-29 00:00,14661.0000000000
2016-01-30 00:00,14166.0000000000
2016-01-31 00:00,14199.0000000000
2016-02-01 00:00,14291.0000000000
2016-02-02 00:00,14274.0000000000
2016-02-03 00:00,14371.0000000000
2016-02-04 00:00,15249.0000000000
2016-02-05 00:00,31418.0000000000
2016-02-06 00:00,14264.0000000000
2016-02-07 00:00,14719.0000000000
2016-02-08 00:00,15517.0000000000
2016-02-09 00:00,17141.0000000000
2016-02-10 00:00,21440.0000000000
2016-02-11 00:00,18109.0000000000
2016-02-12 00:00,19327.0000000000
2016-02-13 00:00,16624.0000000000
2016-02-14 00:00,17159.0000000000
2016-02-15 00:00,17549.0000000000
2016-02-16 00:00,19990.0000000000
2016-02-17 00:00,16969.0000000000
2016-02-18 00:00,18412.0000000000
2016-02-19 00:00,16714.0000000000
2016-02-20 00:00,17119.0000000000
2016-02-21 00:00,18190.0000000000
2016-02-22 00:00,18482.0000000000
2016-02-23 00:00,19540.0000000000
2016-02-24 00:00,19503.0000000000
2016-02-25 00:00,21068.0000000000
2016-02-26 00:00,18981.0000000000
2016-02-27 00:00,19063.0000000000
2016-02-28 00:00,20358.0000000000
2016-02-29 00:00,21778.0000000000
2016-03-01 00:00,23562.0000000000
2016-03-02 00:00,24837.0000000000
2016-03-03 00:00,24287.0000000000
2016-03-04 00:00,27115.0000000000
2016-03-05 00:00,27661.0000000000
2016-03-06 00:00,23271.0000000000
2016-03-07 00:00,24105.0000000000
2016-03-08 00:00,24557.0000000000
2016-03-09 00:00,24814.0000000000
2016-03-10 00:00,23124.0000000000
2016-03-11 00:00,27887.0000000000
2016-03-12 00:00,28127.0000000000
2016-03-13 00:00,28528.0000000000
2016-03-14 00:00,29273.0000000000
2016-03-15 00:00,27596.0000000000
2016-03-16 00:00,33531.0000000000
2016-03-17 00:00,31821.0000000000
2016-03-18 00:00,34779.0000000000
2016-03-19 00:00,32447.0000000000
2016-03-20 00:00,32511.0000000000
2016-03-21 00:00,32890.0000000000
2016-03-22 00:00,31786.0000000000
2016-03-23 00:00,36947.0000000000
2016-03-24 00:00,36762.0000000000
2016-03-25 00:00,36646.0000000000
2016-03-26 00:00,29974.0000000000
2016-03-27 00:00,33613.0000000000
2016-03-28 00:00,33915.0000000000
2016-03-29 00:00,36767.0000000000
2016-03-30 00:00,32259.0000000000
2016-03-31 00:00,33320.0000000000
2016-04-01 00:00,29358.0000000000
2016-04-02 00:00,29588.0000000000
2016-04-03 00:00,34907.0000000000
2016-04-04 00:00,39173.0000000000
2016-04-05 00:00,32078.0000000000
2016-04-06 00:00,31893.0000000000
2016-04-07 00:00,34010.0000000000
2016-04-08 00:00,31923.0000000000
2016-04-09 00:00,32237.0000000000
2016-04-10 00:00,30327.0000000000
2016-04-11 00:00,34673.0000000000
2016-04-12 00:00,36051.0000000000
2016-04-13 00:00,34781.0000000000
2016-04-14 00:00,34959.0000000000
2016-04-15 00:00,30483.0000000000
2016-04-16 00:00,40203.0000000000
2016-04-17 00:00,33513.0000000000
2016-04-18 00:00,32622.0000000000
2016-04-19 00:00,32944.0000000000
2016-04-20 00:00,37181.0000000000
2016-04-21 00:00,31678.0000000000
2016-04-22 00:00,31845.0000000000
2016-04-23 00:00,34046.0000000000
2016-04-24 00:00,35430.0000000000
2016-04-25 00:00,32582.0000000000
2016-04-26 00:00,33847.0000000000
2016-04-27 00:00,34343.0000000000
2016-04-28 00:00,37332.0000000000
2016-04-29 00:00,45769.0000000000
2016-04-30 00:00,39578.0000000000
2016-05-01 00:00,41748.0000000000
2016-05-02 00:00,37821.0000000000
2016-05-03 00:00,37484.0000000000
2016-05-04 00:00,38707.0000000000
2016-05-05 00:00,41271.0000000000
2016-05-06 00:00,35864.0000000000
2016-05-07 00:00,40063.0000000000
2016-05-08 00:00,38560.0000000000
2016-05-09 00:00,40684.0000000000
2016-05-10 00:00,40811.0000000000
2016-05-11 00:00,45002.0000000000
2016-05-12 00:00,47739.0000000000
2016-05-13 00:00,45745.0000000000
2016-05-14 00:00,43073.0000000000
2016-05-15 00:00,37424.0000000000
2016-05-16 00:00,40309.0000000000
2016-05-17 00:00,46033.0000000000
2016-05-18 00:00,44523.0000000000
2016-05-19 00:00,45177.0000000000
2016-05-20 00:00,43621.0000000000
2016-05-21 00:00,38895.0000000000
2016-05-22 00:00,43806.0000000000
2016-05-23 00:00,42911.0000000000
2016-05-24 00:00,46443.0000000000
2016-05-25 00:00,51147.0000000000
2016-05-26 00:00,49006.0000000000
2016-05-27 00:00,70148.0000000000
2016-05-28 00:00,45890.0000000000
2016-05-29 00:00,42927.0000000000
2016-05-30 00:00,44386.0000000000
2016-05-31 00:00,42221.0000000000
2016-06-01 00:00,39666.0000000000
2016-06-02 00:00,39834.0000000000
2016-06-03 00:00,37875.0000000000
2016-06-04 00:00,37896.0000000000
2016-06-05 00:00,38957.0000000000
2016-06-06 00:00,46141.0000000000
2016-06-07 00:00,40433.0000000000
2016-06-08 00:00,39854.0000000000
2016-06-09 00:00,40145.0000000000
2016-06-10 00:00,36901.0000000000
2016-06-11 00:00,42581.0000000000
2016-06-12 00:00,46185.0000000000
2016-06-13 00:00,50335.0000000000
2016-06-14 00:00,43251.0000000000
2016-06-15 00:00,43392.0000000000
2016-06-16 00:00,66558.0000000000
2016-06-17 00:00,63083.0000000000
2016-06-18 00:00,51035.0000000000
2016-06-19 00:00,47118.0000000000
2016-06-20 00:00,47323.0000000000
2016-06-21 00:00,48615.0000000000
2016-06-22 00:00,41908.0000000000
2016-06-23 00:00,45331.0000000000
2016-06-24 00:00,36684.0000000000
2016-06-25 00:00,41613.0000000000
2016-06-26 00:00,39663.0000000000
2016-06-27 00:00,43089.0000000000
2016-06-28 00:00,49897.0000000000
2016-06-29 00:00,63952.0000000000
2016-06-30 00:00,40085.0000000000
2016-07-01 00:00,39257.0000000000
2016-07-02 00:00,39757.0000000000
2016-07-03 00:00,39950.0000000000
2016-07-04 00:00,39270.0000000000
2016-07-05 00:00,37900.0000000000
2016-07-06 00:00,40433.0000000000
2016-07-07 00:00,42506.0000000000
2016-07-08 00:00,40410.0000000000
2016-07-09 00:00,39358.0000000000
2016-07-10 00:00,38582.0000000000
2016-07-11 00:00,40811.0000000000
2016-07-12 00:00,35740.0000000000
2016-07-13 00:00,42809.0000000000
2016-07-14 00:00,41110.0000000000
2016-07-15 00:00,38062.0000000000
