date,block_count
2015-12-31 00:00,4885.0000000000
2016-01-01 00:00,5095.0000000000
2016-01-02 00:00,5134.0000000000
2016-01-03 00:00,5096.0000000000
2016-01-04 00:00,5126.0000000000
2016-01-05 00:00,5090.0000000000
2016-01-06 00:00,4981.0000000000
2016-01-07 00:00,5176.0000000000
2016-01-08 00:00,5099.0000000000
2016-01-09 00:00,5093.0000000000
2016-01-10 00:00,5107.0000000000
2016-01-11 00:00,4930.0000000000
2016-01-12 00:00,5002.0000000000
2016-01-13 00:00,5090.0000000000
2016-01-14 00:00,5084.0000000000
2016-01-15 00:00,5046.0000000000
2016-01-16 00:00,5036.0000000000
2016-01-17 00:00,5072.0000000000
2016-01-18 00:00,4972.0000000000
2016-01-19 00:00,5038.0000000000
2016-01-20 00:00,4963.0000000000
2016-01-21 00:00,5007.0000000000
2016-01-22 00:00,4928.0000000000
2016-01-23 00:00,5168.0000000000
2016-01-24 00:00,4881.0000000000
2016-01-25 00:00,5152.0000000000
2016-01-26 00:00,4983.0000000000
2016-01-27 00:00,5059.0000000000
2016-01-28 00:00,4981.0000000000
2016-01-29 00:00,5017.0000000000
2016-01-30 00:00,4872.0000000000
2016-01-31 00:00,5015.0000000000
2016-02-01 00:00,4955.0000000000
2016-02-02 00:00,5199.0000000000
2016-02-03 00:00,5062.0000000000
2016-02-04 00:00,5046.0000000000
2016-02-05 00:00,4987.0000000000
2016-02-06 00:00,5087.0000000000
2016-02-07 00:00,5071.0000000000
2016-02-08 00:00,5055.0000000000
2016-02-09 00:00,4961.0000000000
2016-02-10 00:00,5019.0000000000
2016-02-11 00:00,5033.0000000000
2016-02-12 00:00,5093.0000000000
2016-02-13 00:00,4990.0000000000
2016-02-14 00:00,4975.0000000000
2016-02-15 00:00,5025.0000000000
2016-02-16 00:00,4857.0000000000
2016-02-17 00:00,4999.0000000000
2016-02-18 00:00,5033.0000000000
2016-02-19 00:00,5051.0000000000
2016-02-20 00:00,5055.0000000000
2016-02-21 00:00,5103.0000000000
2016-02-22 00:00,4969.0000000000
2016-02-23 00:00,5029.0000000000
2016-02-24 00:00,5128.0000000000
2016-02-25 00:00,5055.0000000000
2016-02-26 00:00,4992.0000000000
2016-02-27 00:00,5029.0000000000
2016-02-28 00:00,4820.0000000000
2016-02-29 00:00,5052.0000000000
2016-03-01 00:00,5086.0000000000
