date,mining_vol
2015-12-30 00:00,25295.0000000000
2015-12-31 00:00,24508.0000000000
2016-01-01 00:00,25573.0000000000
2016-01-02 00:00,25772.0000000000
2016-01-03 00:00,25581.0000000000
2016-01-04 00:00,25781.0000000000
2016-01-05 00:00,25606.0000000000
2016-01-06 00:00,25057.0000000000
2016-01-07 00:00,25992.0000000000
2016-01-08 00:00,25620.0000000000
2016-01-09 00:00,25566.0000000000
2016-01-10 00:00,25621.0000000000
2016-01-11 00:00,24727.0000000000
2016-01-12 00:00,25133.0000000000
2016-01-13 00:00,25537.0000000000
2016-01-14 00:00,25499.0000000000
2016-01-15 00:00,25306.0000000000
2016-01-16 00:00,25256.0000000000
2016-01-17 00:00,25442.0000000000
2016-01-18 00:00,24946.0000000000
2016-01-19 00:00,25265.0000000000
2016-01-20 00:00,24881.0000000000
2016-01-21 00:00,25116.0000000000
2016-01-22 00:00,24704.0000000000
2016-01-23 00:00,25922.0000000000
2016-01-24 00:00,24499.0000000000
2016-01-25 00:00,25848.0000000000
2016-01-26 00:00,25021.0000000000
2016-01-27 00:00,25388.0000000000
2016-01-28 00:00,24995.0000000000
2016-01-29 00:00,25166.0000000000
2016-01-30 00:00,24448.0000000000
2016-01-31 00:00,25163.0000000000
2016-02-01 00:00,24850.0000000000
2016-02-02 00:00,26076.0000000000
2016-02-03 00:00,25395.0000000000
2016-02-04 00:00,25324.0000000000
2016-02-05 00:00,25234.0000000000
2016-02-06 00:00,25540.0000000000
2016-02-07 00:00,25446.0000000000
2016-02-08 00:00,25375.0000000000
2016-02-09 00:00,24920.0000000000
2016-02-10 00:00,25198.0000000000
2016-02-11 00:00,25253.0000000000
2016-02-12 00:00,25560.0000000000
2016-02-13 00:00,25035.0000000000
2016-02-14 00:00,24961.0000000000
2016-02-15 00:00,25212.0000000000
2016-02-16 00:00,24384.0000000000
2016-02-17 00:00,25075.0000000000
2016-02-18 00:00,25263.0000000000
2016-02-19 00:00,25335.0000000000
2016-02-20 00:00,25355.0000000000
2016-02-21 00:00,25599.0000000000
2016-02-22 00:00,24994.0000000000
2016-02-23 00:00,25250.0000000000
2016-02-24 00:00,25721.0000000000
2016-02-25 00:00,25383.0000000000
2016-02-26 00:00,25039.0000000000
2016-02-27 00:00,25227.0000000000
2016-02-28 00:00,24180.0000000000
2016-02-29 00:00,25345.0000000000
2016-03-01 00:00,25520.0000000000
2016-03-02 00:00,25150.0000000000
2016-03-03 00:00,25045.0000000000
2016-03-04 00:00,25765.0000000000
2016-03-05 00:00,24613.0000000000
2016-03-06 00:00,25198.0000000000
2016-03-07 00:00,25152.0000000000
2016-03-08 00:00,25008.0000000000
2016-03-09 00:00,26031.0000000000
2016-03-10 00:00,25385.0000000000
2016-03-11 00:00,25189.0000000000
2016-03-12 00:00,26010.0000000000
2016-03-13 00:00,25608.0000000000
2016-03-14 00:00,29980.0000000000
2016-03-15 00:00,30211.0000000000
2016-03-16 00:00,30516.0000000000
2016-03-17 00:00,29905.0000000000
2016-03-18 00:00,30531.0000000000
2016-03-19 00:00,30237.0000000000
2016-03-20 00:00,30067.0000000000
2016-03-21 00:00,30444.0000000000
2016-03-22 00:00,29968.0000000000
2016-03-23 00:00,30619.0000000000
2016-03-24 00:00,30440.0000000000
2016-03-25 00:00,30579.0000000000
2016-03-26 00:00,30313.0000000000
2016-03-27 00:00,30081.0000000000
2016-03-28 00:00,30136.0000000000
2016-03-29 00:00,30340.0000000000
2016-03-30 00:00,30188.0000000000
2016-03-31 00:00,30496.0000000000
2016-04-01 00:00,29761.0000000000
2016-04-02 00:00,30264.0000000000
2016-04-03 00:00,30524.0000000000
2016-04-04 00:00,30258.0000000000
2016-04-05 00:00,30099.0000000000
2016-04-06 00:00,29849.0000000000
2016-04-07 00:00,30600.0000000000
2016-04-08 00:00,29743.0000000000
2016-04-09 00:00,30411.0000000000
2016-04-10 00:00,29761.0000000000
2016-04-11 00:00,30156.0000000000
2016-04-12 00:00,30172.0000000000
2016-04-13 00:00,30195.0000000000
2016-04-14 00:00,30383.0000000000
2016-04-15 00:00,30177.0000000000
2016-04-16 00:00,30169.0000000000
2016-04-17 00:00,30366.0000000000
2016-04-18 00:00,29931.0000000000
2016-04-19 00:00,30344.0000000000
2016-04-20 00:00,30045.0000000000
2016-04-21 00:00,30240.0000000000
2016-04-22 00:00,30341.0000000000
2016-04-23 00:00,29999.0000000000
2016-04-24 00:00,30617.0000000000
2016-04-25 00:00,29849.0000000000
2016-04-26 00:00,30401.0000000000
2016-04-27 00:00,30241.0000000000
2016-04-28 00:00,30242.0000000000
2016-04-29 00:00,30393.0000000000
2016-04-30 00:00,29804.0000000000
2016-05-01 00:00,30495.0000000000
2016-05-02 00:00,30366.0000000000
2016-05-03 00:00,29996.0000000000
2016-05-04 00:00,30288.0000000000
2016-05-05 00:00,30217.0000000000
2016-05-06 00:00,30037.0000000000
2016-05-07 00:00,30355.0000000000
2016-05-08 00:00,30315.0000000000
2016-05-09 00:00,30161.0000000000
2016-05-10 00:00,29676.0000000000
2016-05-11 00:00,30611.0000000000
2016-05-12 00:00,30447.0000000000
2016-05-13 00:00,29908.0000000000
2016-05-14 00:00,30180.0000000000
2016-05-15 00:00,29906.0000000000
2016-05-16 00:00,30463.0000000000
2016-05-17 00:00,30433.0000000000
2016-05-18 00:00,30159.0000000000
2016-05-19 00:00,30297.0000000000
