date,unit_transaction_fee
2016-01-07 00:00,0.0023857000
2016-01-08 00:00,0.0033325300
2016-01-09 00:00,0.0025509700
2016-01-10 00:00,0.0023422000
2016-01-11 00:00,0.0023596700
2016-01-12 00:00,0.0034142400
2016-01-13 00:00,0.0025134900
2016-01-14 00:00,0.0023453300
2016-01-15 00:00,0.0021239900
2016-01-16 00:00,0.0017482000
2016-01-17 00:00,0.0023938400
2016-01-18 00:00,0.0026510400
2016-01-19 00:00,0.0017920400
2016-01-20 00:00,0.0018908100
2016-01-21 00:00,0.0022516800
2016-01-22 00:00,0.0015812100
2016-01-23 00:00,0.0018542600
2016-01-24 00:00,0.0023474800
2016-01-25 00:00,0.0022953200
2016-01-26 00:00,0.0030330300
2016-01-27 00:00,0.0024668100
2016-01-28 00:00,0.0022818100
2016-01-29 00:00,0.0024165700
2016-01-30 00:00,0.0023919100
2016-01-31 00:00,0.0022916600
2016-02-01 00:00,0.0020616400
2016-02-02 00:00,0.0019426400
2016-02-03 00:00,0.0022766300
2016-02-04 00:00,0.0025558600
2016-02-05 00:00,0.0076638500
2016-02-06 00:00,0.0037241100
2016-02-07 00:00,0.0025689500
2016-02-08 00:00,0.0032330300
2016-02-09 00:00,0.0034352900
2016-02-10 00:00,0.0021699400
2016-02-11 00:00,0.0018259200
2016-02-12 00:00,0.0018688100
2016-02-13 00:00,0.0016706600
2016-02-14 00:00,0.0017906300
2016-02-15 00:00,0.0018972300
2016-02-16 00:00,0.0020520000
2016-02-17 00:00,0.0017249100
2016-02-18 00:00,0.0020115100
2016-02-19 00:00,0.0016029500
2016-02-20 00:00,0.0016438300
2016-02-21 00:00,0.0017894000
2016-02-22 00:00,0.0050949200
2016-02-23 00:00,0.0026628500
2016-02-24 00:00,0.0016209200
2016-02-25 00:00,0.0024141700
2016-02-26 00:00,0.0014949000
2016-02-27 00:00,0.0015400900
2016-02-28 00:00,0.0016182400
2016-02-29 00:00,0.0015589500
2016-03-01 00:00,0.0016585500
2016-03-02 00:00,0.0014225800
2016-03-03 00:00,0.0013984100
2016-03-04 00:00,0.0012501600
2016-03-05 00:00,0.0013626400
2016-03-06 00:00,0.0013053700
2016-03-07 00:00,0.0013834400
2016-03-08 00:00,0.0010613700
2016-03-09 00:00,0.0008199700
2016-03-10 00:00,0.0008323800
2016-03-11 00:00,0.0008711600
2016-03-12 00:00,0.0009116400
2016-03-13 00:00,0.0009740900
2016-03-14 00:00,0.0008203100
2016-03-15 00:00,0.0008650800
2016-03-16 00:00,0.0009444400
2016-03-17 00:00,0.0008620900
2016-03-18 00:00,0.0012733400
2016-03-19 00:00,0.0011011500
2016-03-20 00:00,0.0009985000
2016-03-21 00:00,0.0007947500
2016-03-22 00:00,0.0010274400
2016-03-23 00:00,0.0011207900
2016-03-24 00:00,0.0010977300
2016-03-25 00:00,0.0009566200
2016-03-26 00:00,0.0006408900
2016-03-27 00:00,0.0007848800
2016-03-28 00:00,0.0007050800
2016-03-29 00:00,0.0010166000
2016-03-30 00:00,0.0007756500
2016-03-31 00:00,0.0007274100
2016-04-01 00:00,0.0006153600
2016-04-02 00:00,0.0006062200
2016-04-03 00:00,0.0007124500
2016-04-04 00:00,0.0007302700
2016-04-05 00:00,0.0006758300
2016-04-06 00:00,0.0006713900
2016-04-07 00:00,0.0007400000
2016-04-08 00:00,0.0006264500
2016-04-09 00:00,0.0006032500
2016-04-10 00:00,0.0006151800
2016-04-11 00:00,0.0006606300
2016-04-12 00:00,0.0009144600
2016-04-13 00:00,0.0009122400
2016-04-14 00:00,0.0006687500
2016-04-15 00:00,0.0005650500
2016-04-16 00:00,0.0007513900
2016-04-17 00:00,0.0005997400
2016-04-18 00:00,0.0005856500
2016-04-19 00:00,0.0007239100
2016-04-20 00:00,0.0008171100
2016-04-21 00:00,0.0006495400
2016-04-22 00:00,0.0006127800
2016-04-23 00:00,0.0006604600
2016-04-24 00:00,0.0006735000
2016-04-25 00:00,0.0006647700
2016-04-26 00:00,0.0006041900
2016-04-27 00:00,0.0006591900
2016-04-28 00:00,0.0006277500
2016-04-29 00:00,0.0007024900
2016-04-30 00:00,0.0009273000
2016-05-01 00:00,0.0006569900
2016-05-02 00:00,0.0007096800
2016-05-03 00:00,0.0007289200
2016-05-04 00:00,0.0008043700
2016-05-05 00:00,0.0008522900
2016-05-06 00:00,0.0006755500
2016-05-07 00:00,0.0007213900
2016-05-08 00:00,0.0006831400
2016-05-09 00:00,0.0006808900
2016-05-10 00:00,0.0007749600
2016-05-11 00:00,0.0008724600
2016-05-12 00:00,0.0009047300
2016-05-13 00:00,0.0007749800
2016-05-14 00:00,0.0007267900
2016-05-15 00:00,0.0007374500
2016-05-16 00:00,0.0007062100
2016-05-17 00:00,0.0007618500
2016-05-18 00:00,0.0007444400
2016-05-19 00:00,0.0008417600
2016-05-20 00:00,0.0008207000
2016-05-21 00:00,0.0007424100
2016-05-22 00:00,0.0006764900
2016-05-23 00:00,0.0006664000
2016-05-24 00:00,0.0007048100
2016-05-25 00:00,0.0006952200
2016-05-26 00:00,0.0007753300
2016-05-27 00:00,0.0011543100
2016-05-28 00:00,0.0008452500
2016-05-29 00:00,0.0007420900
2016-05-30 00:00,0.0007018900
2016-05-31 00:00,0.0007389900
2016-06-01 00:00,0.0006519500
2016-06-02 00:00,0.0006336300
2016-06-03 00:00,0.0006437900
2016-06-04 00:00,0.0006290600
2016-06-05 00:00,0.0006639700
2016-06-06 00:00,0.0014625200
2016-06-07 00:00,0.0007031600
2016-06-08 00:00,0.0007250200
2016-06-09 00:00,0.0007198000
2016-06-10 00:00,0.0007377700
2016-06-11 00:00,0.0006849100
2016-06-12 00:00,0.0007991000
2016-06-13 00:00,0.0007642600
2016-06-14 00:00,0.0007041800
2016-06-15 00:00,0.0009406200
2016-06-16 00:00,0.0034452100
2016-06-17 00:00,0.0042990200
2016-06-18 00:00,0.0010606000
2016-06-19 00:00,0.0010986700
2016-06-20 00:00,0.0017506200
2016-06-21 00:00,0.0010582100
2016-06-22 00:00,0.0007630600
2016-06-23 00:00,0.0008697500
2016-06-24 00:00,0.0007715000
2016-06-25 00:00,0.0006600800
2016-06-26 00:00,0.0006973300
2016-06-27 00:00,0.0007449700
2016-06-28 00:00,0.0011394800
2016-06-29 00:00,0.0013742700
2016-06-30 00:00,0.0011339400
2016-07-01 00:00,0.0006209200
2016-07-02 00:00,0.0007728700
2016-07-03 00:00,0.0006701600
2016-07-04 00:00,0.0007679900
2016-07-05 00:00,0.0007834300
2016-07-06 00:00,0.0006582100
2016-07-07 00:00,0.0009256900
2016-07-08 00:00,0.0012154100
2016-07-09 00:00,0.0007024300
2016-07-10 00:00,0.0007399500
2016-07-11 00:00,0.0007997500
2016-07-12 00:00,0.0006924900
2016-07-13 00:00,0.0007570800
2016-07-14 00:00,0.0007090000
2016-07-15 00:00,0.0006274200
2016-07-16 00:00,0.0005793200
2016-07-17 00:00,0.0006544500
2016-07-18 00:00,0.0006612800
2016-07-19 00:00,0.0014928700
2016-07-20 00:00,0.0007622300
2016-07-21 00:00,0.0007721700
2016-07-22 00:00,0.0007344900
2016-07-23 00:00,0.0006415200
2016-07-24 00:00,0.0007188000
2016-07-25 00:00,0.0007345200
2016-07-26 00:00,0.0007210400
