date,block_size
2016-01-06 00:00,1549.6730000000
2016-01-07 00:00,1079.7755000000
2016-01-08 00:00,1209.3858000000
2016-01-09 00:00,1043.7112000000
2016-01-10 00:00,1058.0789000000
2016-01-11 00:00,1093.8381000000
2016-01-12 00:00,1423.2459000000
2016-01-13 00:00,1061.8974000000
2016-01-14 00:00,1006.2193000000
2016-01-15 00:00,967.3799000000
2016-01-16 00:00,886.5723000000
2016-01-17 00:00,1056.6767000000
2016-01-18 00:00,1106.7259000000
2016-01-19 00:00,958.9492000000
2016-01-20 00:00,943.5368000000
2016-01-21 00:00,1027.3717000000
2016-01-22 00:00,905.7595000000
2016-01-23 00:00,992.8713000000
2016-01-24 00:00,1334.9119000000
2016-01-25 00:00,1228.3261000000
2016-01-26 00:00,1566.1381000000
2016-01-27 00:00,1424.1546000000
2016-01-28 00:00,1307.5065000000
2016-01-29 00:00,1179.0801000000
2016-01-30 00:00,1135.3867000000
2016-01-31 00:00,1080.6939000000
2016-02-01 00:00,1077.2785000000
2016-02-02 00:00,1059.5805000000
2016-02-03 00:00,1086.6636000000
2016-02-04 00:00,1116.8518000000
2016-02-05 00:00,1677.5446000000
2016-02-06 00:00,1025.9807000000
2016-02-07 00:00,1033.5673000000
2016-02-08 00:00,1032.3430000000
2016-02-09 00:00,1106.3786000000
2016-02-10 00:00,1279.6394000000
2016-02-11 00:00,1170.5341000000
2016-02-12 00:00,1222.0915000000
2016-02-13 00:00,1139.9569000000
2016-02-14 00:00,1126.8171000000
2016-02-15 00:00,1127.9303000000
2016-02-16 00:00,1265.1762000000
2016-02-17 00:00,1109.4749000000
2016-02-18 00:00,1156.6618000000
2016-02-19 00:00,1046.2829000000
2016-02-20 00:00,1050.7434000000
2016-02-21 00:00,1090.2873000000
2016-02-22 00:00,1117.0580000000
2016-02-23 00:00,1108.8270000000
2016-02-24 00:00,1113.9760000000
2016-02-25 00:00,1288.8714000000
2016-02-26 00:00,1101.8922000000
2016-02-27 00:00,1091.1889000000
2016-02-28 00:00,1175.3846000000
2016-02-29 00:00,1156.5113000000
2016-03-01 00:00,1198.6117000000
2016-03-02 00:00,1248.4458000000
2016-03-03 00:00,1249.1352000000
2016-03-04 00:00,1314.4079000000
2016-03-05 00:00,1365.8176000000
2016-03-06 00:00,1217.7266000000
2016-03-07 00:00,1242.1290000000
2016-03-08 00:00,1279.4692000000
2016-03-09 00:00,1221.5445000000
2016-03-10 00:00,1210.9951000000
2016-03-11 00:00,1384.6022000000
2016-03-12 00:00,1392.0978000000
2016-03-13 00:00,1501.3140000000
2016-03-14 00:00,1317.7220000000
2016-03-15 00:00,1316.4257000000
2016-03-16 00:00,1421.2223000000
2016-03-17 00:00,1403.0641000000
2016-03-18 00:00,1494.0396000000
2016-03-19 00:00,1445.8357000000
2016-03-20 00:00,1497.7746000000
2016-03-21 00:00,1514.4617000000
2016-03-22 00:00,1529.4933000000
2016-03-23 00:00,1861.7373000000
2016-03-24 00:00,1621.2481000000
2016-03-25 00:00,1537.7797000000
2016-03-26 00:00,1260.7617000000
