date,daily_uncle_block_reward
2016-01-02 00:00,1825.9700000000
2016-01-03 00:00,1797.0600000000
2016-01-04 00:00,2034.7600000000
2016-01-05 00:00,1972.1700000000
2016-01-06 00:00,1952.2300000000
2016-01-07 00:00,1965.0200000000
2016-01-08 00:00,1977.0500000000
2016-01-09 00:00,1707.3900000000
2016-01-10 00:00,1499.8600000000
2016-01-11 00:00,1306.9800000000
2016-01-12 00:00,1653.3300000000
2016-01-13 00:00,1595.1600000000
2016-01-14 00:00,1604.7700000000
2016-01-15 00:00,1513.8700000000
2016-01-16 00:00,1691.9000000000
2016-01-17 00:00,1705.2000000000
2016-01-18 00:00,1694.3500000000
2016-01-19 00:00,1796.1200000000
2016-01-20 00:00,1619.2300000000
2016-01-21 00:00,1766.4900000000
2016-01-22 00:00,1810.5200000000
2016-01-23 00:00,2977.4400000000
2016-01-24 00:00,2605.1900000000
2016-01-25 00:00,3193.3200000000
2016-01-26 00:00,2782.9800000000
2016-01-27 00:00,2926.0200000000
2016-01-28 00:00,3063.3600000000
2016-01-29 00:00,2696.6400000000
2016-01-30 00:00,3109.8200000000
2016-01-31 00:00,2761.4200000000
2016-02-01 00:00,2283.2700000000
2016-02-02 00:00,2934.1500000000
2016-02-03 00:00,3061.3300000000
2016-02-04 00:00,3218.9600000000
2016-02-05 00:00,3387.8000000000
2016-02-06 00:00,3094.8400000000
2016-02-07 00:00,3756.1500000000
2016-02-08 00:00,3726.3800000000
2016-02-09 00:00,5548.5000000000
2016-02-10 00:00,6102.3600000000
2016-02-11 00:00,7906.1600000000
2016-02-12 00:00,6396.6100000000
2016-02-13 00:00,5997.8800000000
2016-02-14 00:00,7619.9700000000
2016-02-15 00:00,6669.6300000000
2016-02-16 00:00,5841.1500000000
2016-02-17 00:00,4217.0000000000
2016-02-18 00:00,6650.3200000000
2016-02-19 00:00,5502.0800000000
2016-02-20 00:00,5161.2300000000
2016-02-21 00:00,6247.8700000000
2016-02-22 00:00,7251.5500000000
2016-02-23 00:00,6858.1700000000
2016-02-24 00:00,7202.7700000000
2016-02-25 00:00,7896.8700000000
2016-02-26 00:00,7080.7800000000
2016-02-27 00:00,7830.9200000000
2016-02-28 00:00,7065.2900000000
2016-02-29 00:00,7552.0500000000
2016-03-01 00:00,8807.4800000000
2016-03-02 00:00,8680.2200000000
2016-03-03 00:00,7686.3800000000
2016-03-04 00:00,9057.1100000000
2016-03-05 00:00,9097.7200000000
2016-03-06 00:00,8996.4900000000
2016-03-07 00:00,6292.1500000000
2016-03-08 00:00,8058.2100000000
2016-03-09 00:00,7206.3700000000
2016-03-10 00:00,9850.8500000000
2016-03-11 00:00,15736.4600000000
2016-03-12 00:00,18129.3200000000
2016-03-13 00:00,11439.6900000000
2016-03-14 00:00,16143.3900000000
2016-03-15 00:00,17209.1500000000
2016-03-16 00:00,19266.1700000000
2016-03-17 00:00,15326.5300000000
2016-03-18 00:00,15743.6700000000
2016-03-19 00:00,14796.0500000000
2016-03-20 00:00,14571.6000000000
2016-03-21 00:00,14985.5100000000
2016-03-22 00:00,16163.0500000000
2016-03-23 00:00,17113.4500000000
2016-03-24 00:00,15898.3300000000
2016-03-25 00:00,15267.3000000000
