date,ethe_open_interest
2020-06-08 00:00,1454923.6435
2020-06-09 00:00,1456346.367
2020-06-10 00:00,1492083.317
2020-06-11 00:00,1510988.2376
2020-06-12 00:00,1510988.2376
2020-06-13 00:00,1510988.2376
2020-06-14 00:00,1519911.5371
2020-06-15 00:00,1560610.22
2020-06-16 00:00,1561686.644
2020-06-17 00:00,1567036.2523
2020-06-18 00:00,1569060.7129
2020-06-19 00:00,1569060.7129
2020-06-20 00:00,1569060.7129
2020-06-21 00:00,1609561.7558
2020-06-22 00:00,1614521.2563
2020-06-23 00:00,1702514.6758
2020-06-24 00:00,1702398.0646
2020-06-25 00:00,1702281.4533
2020-06-26 00:00,1702281.4533
2020-06-27 00:00,1702281.4533
2020-06-28 00:00,1701931.8009
2020-06-29 00:00,1701815.1896
2020-06-30 00:00,1701698.5783
2020-07-01 00:00,1701581.9671
2020-07-02 00:00,1701465.5372
2020-07-03 00:00,1701465.5372
2020-07-04 00:00,1701465.5372
2020-07-05 00:00,1701115.8847
2020-07-06 00:00,1707002.265
2020-07-07 00:00,1708770.3706
2020-07-08 00:00,1711438.6983
2020-07-09 00:00,1715484.9488
2020-07-10 00:00,1715484.9488
2020-07-11 00:00,1715484.9488
2020-07-12 00:00,1744590.5494
2020-07-13 00:00,1744789.8331
2020-07-14 00:00,1744782.6535
2020-07-15 00:00,1746472.268
2020-07-16 00:00,1747974.1753
2020-07-17 00:00,1747974.1753
2020-07-18 00:00,1747974.1753
2020-07-19 00:00,1772991.9646
2020-07-20 00:00,1772870.4988
2020-07-21 00:00,1795882.968
2020-07-22 00:00,1798102.1964
2020-07-23 00:00,1804780.4979
2020-07-24 00:00,1804780.4979
2020-07-25 00:00,1804780.4979
2020-07-26 00:00,1807051.2182
2020-07-27 00:00,1817042.5415
2020-07-28 00:00,1817723.4026
2020-07-29 00:00,1817833.1052
2020-07-30 00:00,1817833.1052
2020-07-31 00:00,1864725.2449
2020-08-01 00:00,1864725.2449
2020-08-02 00:00,1866588.9981
2020-08-03 00:00,1868127.33
2020-08-04 00:00,1891803.873
2020-08-05 00:00,1916469.3305
2020-08-06 00:00,1917152.3632
2020-08-07 00:00,1917152.3632
2020-08-08 00:00,1917152.3632
2020-08-12 00:00,2012709.0515
2020-08-13 00:00,2030158.5681
2020-08-14 00:00,2030158.5681
2020-08-15 00:00,2030158.5681
2020-08-16 00:00,2029806.9407
2020-08-17 00:00,2030603.2926
2020-08-18 00:00,2030959.7644
2020-08-19 00:00,2033261.428
2020-08-20 00:00,2044548.3944
2020-08-21 00:00,2044548.3944
2020-08-22 00:00,2044548.3944
2020-08-23 00:00,2098172.6359
2020-08-24 00:00,2113154.002
