date,on_chain_transaction_vol
2015-08-06 00:00,2008655.8488454700
2015-08-07 00:00,13583036.6363449100
2015-08-08 00:00,1165462.1735452500
2015-08-09 00:00,1670915.0737049500
2015-08-10 00:00,1485707.8450512000
2015-08-11 00:00,747480.0360153800
2015-08-12 00:00,1787824.7831727500
2015-08-13 00:00,2295437.4349358600
2015-08-14 00:00,4631237.7975450700
2015-08-15 00:00,1708595.5729698600
2015-08-16 00:00,2244770.1575813700
2015-08-17 00:00,1548730.8210925800
2015-08-18 00:00,1149597.1832496800
2015-08-19 00:00,417350.8194742600
2015-08-20 00:00,586795.4513295800
2015-08-21 00:00,494505.8022713300
2015-08-22 00:00,497843.0085353800
2015-08-23 00:00,462299.5395611800
2015-08-24 00:00,406462.9701683400
2015-08-25 00:00,439395.9441922500
2015-08-26 00:00,272780.4508757800
2015-08-27 00:00,300462.0537930300
2015-08-28 00:00,430450.5632324100
2015-08-29 00:00,415922.7336635500
2015-08-30 00:00,384856.6478992600
2015-08-31 00:00,1419836.8177510000
2015-09-01 00:00,277560.6624463500
2015-09-02 00:00,556789.6257843200
2015-09-03 00:00,176558.0679387500
2015-09-04 00:00,167485.0142490100
2015-09-05 00:00,296242.5564065600
2015-09-06 00:00,202531.6522957700
2015-09-07 00:00,263691.7736334900
2015-09-08 00:00,1145845.8830856800
2015-09-09 00:00,206011.4866585700
2015-09-10 00:00,726449.7866812400
2015-09-11 00:00,217744.5246790000
2015-09-12 00:00,224192.6184853300
2015-09-13 00:00,267436.1414351400
2015-09-14 00:00,603445.7895408000
2015-09-15 00:00,555288.9906304900
2015-09-16 00:00,295744.2127858800
2015-09-17 00:00,407818.2501988100
2015-09-18 00:00,390749.9322659100
2015-09-19 00:00,131582.4529694700
2015-09-20 00:00,157720.6985295700
2015-09-21 00:00,194639.3985317000
2015-09-22 00:00,131118.9177107200
2015-09-23 00:00,306733.5181282500
2015-09-24 00:00,661625.3918466600
2015-09-25 00:00,251352.7009656100
2015-09-26 00:00,382909.8419898800
2015-09-27 00:00,713763.0938773800
2015-09-28 00:00,404225.6246705800
2015-09-29 00:00,509768.0448994800
2015-09-30 00:00,538507.9221844700
2015-10-01 00:00,148855.2878559000
2015-10-02 00:00,122983.3456505800
2015-10-03 00:00,277548.7727494700
2015-10-04 00:00,163926.1045266500
2015-10-05 00:00,506651.1588253800
2015-10-06 00:00,310207.9920080600
2015-10-07 00:00,313438.5813740900
2015-10-08 00:00,224260.3604356300
2015-10-09 00:00,128500.4636355700
2015-10-10 00:00,152917.9772988900
2015-10-11 00:00,270884.6299066000
2015-10-12 00:00,411216.6553056500
2015-10-13 00:00,992513.6880181500
2015-10-14 00:00,799857.2724872000
2015-10-15 00:00,360139.7604293400
2015-10-16 00:00,243865.2615633900
2015-10-17 00:00,181329.2849583100
2015-10-18 00:00,514725.1630243400
2015-10-19 00:00,501608.7859379400
2015-10-20 00:00,697044.2089749600
2015-10-21 00:00,619266.1066899700
2015-10-22 00:00,772955.1259463100
2015-10-23 00:00,99864.2852649600
2015-10-24 00:00,261617.6252863300
2015-10-25 00:00,715471.7457636100
2015-10-26 00:00,1893412.0973172200
2015-10-27 00:00,976148.6603797600
2015-10-28 00:00,517744.6168134100
2015-10-29 00:00,1209385.9305194000
2015-10-30 00:00,276433.0481582300
2015-10-31 00:00,145540.5439243100
2015-11-01 00:00,351741.0512697800
2015-11-02 00:00,594734.2869263000
2015-11-03 00:00,805288.6738308900
2015-11-04 00:00,344187.8084994700
2015-11-05 00:00,938192.5687972800
2015-11-06 00:00,426000.4990315300
2015-11-07 00:00,896718.2421737700
2015-11-08 00:00,946983.7817781900
2015-11-09 00:00,891147.8521725300
2015-11-10 00:00,301427.0569057800
2015-11-11 00:00,280954.0688366100
2015-11-12 00:00,466124.6138399800
2015-11-13 00:00,283631.4476886300
2015-11-14 00:00,175569.8049713500
2015-11-15 00:00,435428.4366039900
2015-11-16 00:00,1157265.0472353100
2015-11-17 00:00,199021.7962513100
2015-11-18 00:00,274444.9449121100
2015-11-19 00:00,194586.8582097400
2015-11-20 00:00,134105.7147975700
2015-11-21 00:00,256043.9533415900
2015-11-22 00:00,684605.2702062300
2015-11-23 00:00,393650.3398675400
2015-11-24 00:00,188362.6900449000
2015-11-25 00:00,970692.0184049300
2015-11-26 00:00,679074.4316016000
2015-11-27 00:00,120708.4542317000
2015-11-28 00:00,190346.0674597600
2015-11-29 00:00,235641.3758422700
2015-11-30 00:00,223161.4435038500
2015-12-01 00:00,294742.9645180100
2015-12-02 00:00,221309.2106051800
2015-12-03 00:00,167920.0277357800
2015-12-04 00:00,143953.2954349900
2015-12-05 00:00,239360.0459947700
2015-12-06 00:00,451676.4767103800
2015-12-07 00:00,177352.7053823100
2015-12-08 00:00,245125.7200418500
2015-12-09 00:00,216579.1637297500
2015-12-10 00:00,319155.7210831900
2015-12-11 00:00,484631.1592777900
2015-12-12 00:00,323476.8820199000
2015-12-13 00:00,308797.7018928000
2015-12-14 00:00,535300.0340560400
2015-12-15 00:00,1458720.5601113300
2015-12-16 00:00,439487.6464520100
2015-12-17 00:00,237335.7728508200
2015-12-18 00:00,227897.5800570600
2015-12-19 00:00,205526.6756524900
2015-12-20 00:00,234237.6731808100
2015-12-21 00:00,237699.9286702600
2015-12-22 00:00,143518.3160086900
2015-12-23 00:00,125625.6095994100
2015-12-24 00:00,68633.9633882300
2015-12-25 00:00,145271.1736478900
2015-12-26 00:00,79481.0435629500
2015-12-27 00:00,441986.9775440600
2015-12-28 00:00,286284.5909191500
