date,new_addresses
2016-01-08 00:00,328.0000000000
2016-01-09 00:00,266.0000000000
2016-01-10 00:00,328.0000000000
2016-01-11 00:00,343.0000000000
2016-01-12 00:00,230.0000000000
2016-01-13 00:00,224.0000000000
2016-01-14 00:00,404.0000000000
2016-01-15 00:00,284.0000000000
2016-01-16 00:00,281.0000000000
2016-01-17 00:00,398.0000000000
2016-01-18 00:00,317.0000000000
2016-01-19 00:00,451.0000000000
2016-01-20 00:00,421.0000000000
2016-01-21 00:00,418.0000000000
2016-01-22 00:00,593.0000000000
2016-01-23 00:00,734.0000000000
2016-01-24 00:00,821.0000000000
2016-01-25 00:00,923.0000000000
2016-01-26 00:00,801.0000000000
2016-01-27 00:00,1009.0000000000
2016-01-28 00:00,975.0000000000
2016-01-29 00:00,991.0000000000
2016-01-30 00:00,898.0000000000
2016-01-31 00:00,691.0000000000
2016-02-01 00:00,696.0000000000
2016-02-02 00:00,678.0000000000
2016-02-03 00:00,609.0000000000
2016-02-04 00:00,816.0000000000
2016-02-05 00:00,539.0000000000
2016-02-06 00:00,527.0000000000
2016-02-07 00:00,672.0000000000
2016-02-08 00:00,755.0000000000
2016-02-09 00:00,1293.0000000000
2016-02-10 00:00,2323.0000000000
2016-02-11 00:00,1545.0000000000
2016-02-12 00:00,1413.0000000000
2016-02-13 00:00,1113.0000000000
2016-02-14 00:00,988.0000000000
2016-02-15 00:00,966.0000000000
2016-02-16 00:00,965.0000000000
2016-02-17 00:00,807.0000000000
2016-02-18 00:00,1380.0000000000
2016-02-19 00:00,661.0000000000
2016-02-20 00:00,1734.0000000000
2016-02-21 00:00,921.0000000000
2016-02-22 00:00,952.0000000000
2016-02-23 00:00,825.0000000000
2016-02-24 00:00,1010.0000000000
2016-02-25 00:00,1390.0000000000
2016-02-26 00:00,803.0000000000
2016-02-27 00:00,1374.0000000000
2016-02-28 00:00,1844.0000000000
2016-02-29 00:00,1868.0000000000
2016-03-01 00:00,2186.0000000000
2016-03-02 00:00,2290.0000000000
2016-03-03 00:00,2431.0000000000
2016-03-04 00:00,3117.0000000000
2016-03-05 00:00,2873.0000000000
2016-03-06 00:00,1885.0000000000
2016-03-07 00:00,2379.0000000000
2016-03-08 00:00,2395.0000000000
2016-03-09 00:00,2404.0000000000
2016-03-10 00:00,1502.0000000000
2016-03-11 00:00,1926.0000000000
2016-03-12 00:00,1939.0000000000
2016-03-13 00:00,2158.0000000000
2016-03-14 00:00,1845.0000000000
2016-03-15 00:00,1627.0000000000
2016-03-16 00:00,1680.0000000000
2016-03-17 00:00,1886.0000000000
2016-03-18 00:00,1254.0000000000
2016-03-19 00:00,1549.0000000000
2016-03-20 00:00,1738.0000000000
2016-03-21 00:00,2975.0000000000
2016-03-22 00:00,1537.0000000000
2016-03-23 00:00,2817.0000000000
