date,daily_block_reward
2015-12-31 00:00,23286.9616000000
2016-01-01 00:00,24590.7412000000
2016-01-02 00:00,24470.0978000000
2016-01-03 00:00,24716.2427000000
2016-01-04 00:00,24766.6923000000
2016-01-05 00:00,24213.3907000000
2016-01-06 00:00,24097.7338000000
2016-01-07 00:00,25160.7397000000
2016-01-08 00:00,25145.9551000000
2016-01-09 00:00,24980.0369000000
2016-01-10 00:00,27266.1819000000
2016-01-11 00:00,26945.5467000000
2016-01-12 00:00,28412.4953000000
2016-01-13 00:00,28916.3332000000
2016-01-14 00:00,30986.4328000000
2016-01-15 00:00,30911.2618000000
2016-01-16 00:00,31405.3997000000
2016-01-17 00:00,35911.1974000000
2016-01-18 00:00,35763.5726000000
2016-01-19 00:00,35008.3071000000
2016-01-20 00:00,38075.4931000000
2016-01-21 00:00,37942.2011000000
2016-01-22 00:00,41319.4656000000
2016-01-23 00:00,57439.2941000000
2016-01-24 00:00,51549.5310000000
2016-01-25 00:00,70063.9508000000
2016-01-26 00:00,61284.1433000000
2016-01-27 00:00,61016.2866000000
2016-01-28 00:00,63675.4783000000
2016-01-29 00:00,63911.0337000000
2016-01-30 00:00,60015.1640000000
2016-01-31 00:00,53452.1662000000
2016-02-01 00:00,54167.1633000000
2016-02-02 00:00,61272.2222000000
2016-02-03 00:00,64785.5947000000
2016-02-04 00:00,64030.0687000000
2016-02-05 00:00,63238.1308000000
2016-02-06 00:00,66006.8834000000
2016-02-07 00:00,76694.9213000000
2016-02-08 00:00,82492.3835000000
2016-02-09 00:00,106361.1266000000
2016-02-10 00:00,115999.2425000000
2016-02-11 00:00,155832.9023000000
2016-02-12 00:00,120440.8513000000
2016-02-13 00:00,113650.2924000000
2016-02-14 00:00,146949.0595000000
2016-02-15 00:00,132801.7523000000
2016-02-16 00:00,107192.6541000000
2016-02-17 00:00,90475.1719000000
2016-02-18 00:00,117593.6834000000
2016-02-19 00:00,111352.1657000000
2016-02-20 00:00,108267.1309000000
2016-02-21 00:00,134262.2206000000
2016-02-22 00:00,142787.4833000000
2016-02-23 00:00,140931.7317000000
2016-02-24 00:00,163410.6925000000
2016-02-25 00:00,151638.0817000000
2016-02-26 00:00,149147.3437000000
2016-02-27 00:00,161434.6955000000
2016-02-28 00:00,157913.8292000000
2016-02-29 00:00,163687.1499000000
2016-03-01 00:00,193245.3815000000
2016-03-02 00:00,219132.0825000000
2016-03-03 00:00,220325.4894000000
2016-03-04 00:00,274340.3188000000
2016-03-05 00:00,271626.6577000000
2016-03-06 00:00,277523.8274000000
2016-03-07 00:00,224887.7285000000
2016-03-08 00:00,264723.1941000000
2016-03-09 00:00,304410.8882000000
2016-03-10 00:00,267096.0548000000
2016-03-11 00:00,328956.5867000000
2016-03-12 00:00,372584.5980000000
2016-03-13 00:00,354018.7944000000
2016-03-14 00:00,381838.6312000000
2016-03-15 00:00,399166.8062000000
