date,unit_computing_income
2016-01-08 00:00,0.0535000000
2016-01-09 00:00,0.0552000000
2016-01-10 00:00,0.0508000000
2016-01-11 00:00,0.0565000000
2016-01-12 00:00,0.0568000000
2016-01-13 00:00,0.0556000000
2016-01-14 00:00,0.0588000000
2016-01-15 00:00,0.0575000000
2016-01-16 00:00,0.0580000000
2016-01-17 00:00,0.0642000000
2016-01-18 00:00,0.0615000000
2016-01-19 00:00,0.0663000000
2016-01-20 00:00,0.0679000000
2016-01-21 00:00,0.0655000000
2016-01-22 00:00,0.0739000000
2016-01-23 00:00,0.0900000000
2016-01-24 00:00,0.0951000000
2016-01-25 00:00,0.1040000000
2016-01-26 00:00,0.0950000000
2016-01-27 00:00,0.1020000000
2016-01-28 00:00,0.0984000000
2016-01-29 00:00,0.0992000000
2016-01-30 00:00,0.0953000000
2016-01-31 00:00,0.0869000000
2016-02-01 00:00,0.0896000000
2016-02-02 00:00,0.0955000000
2016-02-03 00:00,0.0975000000
2016-02-04 00:00,0.0966000000
2016-02-05 00:00,0.1000000000
2016-02-06 00:00,0.1040000000
2016-02-07 00:00,0.1150000000
2016-02-08 00:00,0.1330000000
2016-02-09 00:00,0.1600000000
2016-02-10 00:00,0.1760000000
2016-02-11 00:00,0.2180000000
2016-02-12 00:00,0.1760000000
2016-02-13 00:00,0.1670000000
2016-02-14 00:00,0.1810000000
2016-02-15 00:00,0.1640000000
2016-02-16 00:00,0.1370000000
2016-02-17 00:00,0.1410000000
2016-02-18 00:00,0.1520000000
2016-02-19 00:00,0.1480000000
2016-02-20 00:00,0.1460000000
2016-02-21 00:00,0.1640000000
2016-02-22 00:00,0.1760000000
2016-02-23 00:00,0.1820000000
2016-02-24 00:00,0.1980000000
2016-02-25 00:00,0.1820000000
2016-02-26 00:00,0.1830000000
2016-02-27 00:00,0.1870000000
2016-02-28 00:00,0.1840000000
2016-02-29 00:00,0.1990000000
2016-03-01 00:00,0.2280000000
2016-03-02 00:00,0.2530000000
2016-03-03 00:00,0.2450000000
2016-03-04 00:00,0.2890000000
2016-03-05 00:00,0.2730000000
2016-03-06 00:00,0.2570000000
2016-03-07 00:00,0.2350000000
2016-03-08 00:00,0.2530000000
2016-03-09 00:00,0.2760000000
2016-03-10 00:00,0.2540000000
2016-03-11 00:00,0.2810000000
2016-03-12 00:00,0.3030000000
2016-03-13 00:00,0.2860000000
2016-03-14 00:00,0.3070000000
2016-03-15 00:00,0.3160000000
2016-03-16 00:00,0.2720000000
2016-03-17 00:00,0.2360000000
2016-03-18 00:00,0.2400000000
2016-03-19 00:00,0.2230000000
2016-03-20 00:00,0.2420000000
2016-03-21 00:00,0.2520000000
2016-03-22 00:00,0.2680000000
2016-03-23 00:00,0.2440000000
2016-03-24 00:00,0.2190000000
2016-03-25 00:00,0.2140000000
2016-03-26 00:00,0.2060000000
2016-03-27 00:00,0.2180000000
2016-03-28 00:00,0.2180000000
2016-03-29 00:00,0.2200000000
2016-03-30 00:00,0.2090000000
2016-03-31 00:00,0.2070000000
2016-04-01 00:00,0.2070000000
2016-04-02 00:00,0.2000000000
2016-04-03 00:00,0.1890000000
2016-04-04 00:00,0.1770000000
2016-04-05 00:00,0.1750000000
2016-04-06 00:00,0.1790000000
2016-04-07 00:00,0.1600000000
2016-04-08 00:00,0.1520000000
2016-04-09 00:00,0.1350000000
2016-04-10 00:00,0.1330000000
2016-04-11 00:00,0.1280000000
2016-04-12 00:00,0.1210000000
2016-04-13 00:00,0.1290000000
2016-04-14 00:00,0.1250000000
2016-04-15 00:00,0.1220000000
2016-04-16 00:00,0.1390000000
2016-04-17 00:00,0.1300000000
2016-04-18 00:00,0.1280000000
2016-04-19 00:00,0.1210000000
2016-04-20 00:00,0.1160000000
2016-04-21 00:00,0.1140000000
2016-04-22 00:00,0.1100000000
2016-04-23 00:00,0.1130000000
2016-04-24 00:00,0.1050000000
2016-04-25 00:00,0.0985000000
2016-04-26 00:00,0.1040000000
2016-04-27 00:00,0.0983000000
2016-04-28 00:00,0.0969000000
2016-04-29 00:00,0.1040000000
2016-04-30 00:00,0.1080000000
2016-05-01 00:00,0.1260000000
2016-05-02 00:00,0.1190000000
2016-05-03 00:00,0.1190000000
2016-05-04 00:00,0.1190000000
2016-05-05 00:00,0.1210000000
2016-05-06 00:00,0.1160000000
2016-05-07 00:00,0.1140000000
2016-05-08 00:00,0.1150000000
2016-05-09 00:00,0.1110000000
2016-05-10 00:00,0.1180000000
2016-05-11 00:00,0.1240000000
2016-05-12 00:00,0.1210000000
2016-05-13 00:00,0.1170000000
2016-05-14 00:00,0.1160000000
2016-05-15 00:00,0.1190000000
2016-05-16 00:00,0.1360000000
2016-05-17 00:00,0.1460000000
2016-05-18 00:00,0.1510000000
2016-05-19 00:00,0.1530000000
2016-05-20 00:00,0.1430000000
2016-05-21 00:00,0.1500000000
2016-05-22 00:00,0.1480000000
2016-05-23 00:00,0.1350000000
2016-05-24 00:00,0.1290000000
2016-05-25 00:00,0.1260000000
2016-05-26 00:00,0.1160000000
2016-05-27 00:00,0.1130000000
2016-05-28 00:00,0.1180000000
2016-05-29 00:00,0.1220000000
2016-05-30 00:00,0.1300000000
2016-05-31 00:00,0.1410000000
2016-06-01 00:00,0.1380000000
2016-06-02 00:00,0.1290000000
2016-06-03 00:00,0.1290000000
2016-06-04 00:00,0.1310000000
2016-06-05 00:00,0.1310000000
2016-06-06 00:00,0.1300000000
2016-06-07 00:00,0.1350000000
2016-06-08 00:00,0.1280000000
2016-06-09 00:00,0.1280000000
2016-06-10 00:00,0.1260000000
2016-06-11 00:00,0.1320000000
2016-06-12 00:00,0.1440000000
2016-06-13 00:00,0.1560000000
2016-06-14 00:00,0.1580000000
2016-06-15 00:00,0.1680000000
2016-06-16 00:00,0.1520000000
2016-06-17 00:00,0.1190000000
2016-06-18 00:00,0.1050000000
2016-06-19 00:00,0.0978000000
2016-06-20 00:00,0.1030000000
2016-06-21 00:00,0.1190000000
2016-06-22 00:00,0.1040000000
2016-06-23 00:00,0.1120000000
2016-06-24 00:00,0.1130000000
2016-06-25 00:00,0.1100000000
2016-06-26 00:00,0.1070000000
2016-06-27 00:00,0.1000000000
2016-06-28 00:00,0.0944000000
2016-06-29 00:00,0.0966000000
2016-06-30 00:00,0.0937000000
2016-07-01 00:00,0.0903000000
2016-07-02 00:00,0.0877000000
2016-07-03 00:00,0.0858000000
2016-07-04 00:00,0.0765000000
2016-07-05 00:00,0.0791000000
2016-07-06 00:00,0.0743000000
2016-07-07 00:00,0.0769000000
2016-07-08 00:00,0.0827000000
2016-07-09 00:00,0.0793000000
2016-07-10 00:00,0.0760000000
2016-07-11 00:00,0.0752000000
2016-07-12 00:00,0.0744000000
2016-07-13 00:00,0.0789000000
2016-07-14 00:00,0.0864000000
2016-07-15 00:00,0.0856000000
2016-07-16 00:00,0.0807000000
2016-07-17 00:00,0.0808000000
2016-07-18 00:00,0.0795000000
2016-07-19 00:00,0.0876000000
2016-07-20 00:00,0.0886000000
2016-07-21 00:00,0.0966000000
2016-07-22 00:00,0.1010000000
2016-07-23 00:00,0.0940000000
2016-07-24 00:00,0.0983000000
2016-07-25 00:00,0.0957000000
2016-07-26 00:00,0.1050000000
2016-07-27 00:00,0.0978000000
2016-07-28 00:00,0.0983000000
2016-07-29 00:00,0.0989000000
2016-07-30 00:00,0.0954000000
2016-07-31 00:00,0.0910000000
2016-08-01 00:00,0.0859000000
2016-08-02 00:00,0.0844000000
2016-08-03 00:00,0.0897000000
2016-08-04 00:00,0.0877000000
2016-08-05 00:00,0.0864000000
2016-08-06 00:00,0.0870000000
2016-08-07 00:00,0.0856000000
2016-08-08 00:00,0.0878000000
2016-08-09 00:00,0.0885000000
2016-08-10 00:00,0.0844000000
2016-08-11 00:00,0.0840000000
2016-08-12 00:00,0.0836000000
2016-08-13 00:00,0.0818000000
2016-08-14 00:00,0.0803000000
2016-08-15 00:00,0.0775000000
2016-08-16 00:00,0.0763000000
2016-08-17 00:00,0.0758000000
2016-08-18 00:00,0.0736000000
2016-08-19 00:00,0.0746000000
2016-08-20 00:00,0.0748000000
2016-08-21 00:00,0.0742000000
2016-08-22 00:00,0.0719000000
2016-08-23 00:00,0.0720000000
2016-08-24 00:00,0.0710000000
2016-08-25 00:00,0.0690000000
2016-08-26 00:00,0.0694000000
2016-08-27 00:00,0.0686000000
2016-08-28 00:00,0.0687000000
2016-08-29 00:00,0.0697000000
2016-08-30 00:00,0.0702000000
2016-08-31 00:00,0.0736000000
