date,activate_address
2015-12-31 00:00,2374.0000000000
2016-01-01 00:00,2429.0000000000
2016-01-02 00:00,2470.0000000000
2016-01-03 00:00,2557.0000000000
2016-01-04 00:00,2557.0000000000
2016-01-05 00:00,2673.0000000000
2016-01-06 00:00,2720.0000000000
2016-01-07 00:00,2630.0000000000
2016-01-08 00:00,2696.0000000000
2016-01-09 00:00,2847.0000000000
2016-01-10 00:00,2994.0000000000
2016-01-11 00:00,3013.0000000000
2016-01-12 00:00,2843.0000000000
2016-01-13 00:00,2768.0000000000
2016-01-14 00:00,3153.0000000000
2016-01-15 00:00,2703.0000000000
2016-01-16 00:00,2598.0000000000
2016-01-17 00:00,3075.0000000000
2016-01-18 00:00,2872.0000000000
2016-01-19 00:00,3404.0000000000
2016-01-20 00:00,2985.0000000000
2016-01-21 00:00,3062.0000000000
2016-01-22 00:00,3468.0000000000
2016-01-23 00:00,3878.0000000000
2016-01-24 00:00,4093.0000000000
2016-01-25 00:00,4370.0000000000
2016-01-26 00:00,4125.0000000000
2016-01-27 00:00,4519.0000000000
2016-01-28 00:00,4386.0000000000
2016-01-29 00:00,4395.0000000000
2016-01-30 00:00,4444.0000000000
2016-01-31 00:00,4257.0000000000
2016-02-01 00:00,4357.0000000000
2016-02-02 00:00,4374.0000000000
2016-02-03 00:00,4157.0000000000
2016-02-04 00:00,4755.0000000000
2016-02-05 00:00,3899.0000000000
2016-02-06 00:00,4102.0000000000
2016-02-07 00:00,4594.0000000000
2016-02-08 00:00,4810.0000000000
2016-02-09 00:00,6091.0000000000
2016-02-10 00:00,8011.0000000000
2016-02-11 00:00,6568.0000000000
2016-02-12 00:00,6122.0000000000
2016-02-13 00:00,5595.0000000000
2016-02-14 00:00,5729.0000000000
2016-02-15 00:00,5756.0000000000
2016-02-16 00:00,5790.0000000000
2016-02-17 00:00,5624.0000000000
2016-02-18 00:00,6136.0000000000
2016-02-19 00:00,5276.0000000000
2016-02-20 00:00,6411.0000000000
2016-02-21 00:00,6058.0000000000
2016-02-22 00:00,6121.0000000000
2016-02-23 00:00,6093.0000000000
2016-02-24 00:00,6685.0000000000
2016-02-25 00:00,6610.0000000000
2016-02-26 00:00,5991.0000000000
2016-02-27 00:00,6603.0000000000
2016-02-28 00:00,7283.0000000000
2016-02-29 00:00,7753.0000000000
2016-03-01 00:00,8626.0000000000
2016-03-02 00:00,9120.0000000000
2016-03-03 00:00,9145.0000000000
2016-03-04 00:00,10164.0000000000
2016-03-05 00:00,9831.0000000000
2016-03-06 00:00,8154.0000000000
2016-03-07 00:00,9615.0000000000
2016-03-08 00:00,9393.0000000000
2016-03-09 00:00,9883.0000000000
2016-03-10 00:00,9559.0000000000
2016-03-11 00:00,10065.0000000000
2016-03-12 00:00,10256.0000000000
2016-03-13 00:00,10582.0000000000
2016-03-14 00:00,10502.0000000000
2016-03-15 00:00,9774.0000000000
2016-03-16 00:00,10373.0000000000
2016-03-17 00:00,10859.0000000000
2016-03-18 00:00,9650.0000000000
2016-03-19 00:00,10225.0000000000
2016-03-20 00:00,10678.0000000000
2016-03-21 00:00,11766.0000000000
2016-03-22 00:00,10785.0000000000
2016-03-23 00:00,12760.0000000000
2016-03-24 00:00,11377.0000000000
2016-03-25 00:00,15093.0000000000
2016-03-26 00:00,11144.0000000000
2016-03-27 00:00,13407.0000000000
2016-03-28 00:00,12941.0000000000
2016-03-29 00:00,14676.0000000000
2016-03-30 00:00,12650.0000000000
2016-03-31 00:00,13148.0000000000
2016-04-01 00:00,11345.0000000000
2016-04-02 00:00,11319.0000000000
2016-04-03 00:00,13956.0000000000
2016-04-04 00:00,18068.0000000000
2016-04-05 00:00,12985.0000000000
2016-04-06 00:00,13478.0000000000
2016-04-07 00:00,13914.0000000000
2016-04-08 00:00,12918.0000000000
2016-04-09 00:00,13323.0000000000
